 
   Teff    log g   log L/Lo     Age(Gyr)      Y       F220W   F250W   F330W   F344N   F435W   F475W   F502N   F550M   F555W   F606W   F625W   F658N   F660N   F775W   F814W  F850LP   F892N   BC(V)    M_U     M_B     M_V     M_R      M_I    M_J     M_H     M_K      M_L	G
   15886.  7.96083 -1.990550   1.861494400 0.10E+01   9.283   9.597   9.963  10.014  11.080  11.084  11.096  11.088  11.101  11.097  11.142  11.276  11.314  11.198  11.222  11.355  11.397  -1.355  10.379  11.101  11.098  11.170  11.246  11.464  11.508  11.617  11.666	11.111
   14855.  7.96541 -2.111731   1.902052400 0.10E+01   9.558   9.845  10.179  10.226  11.242  11.234  11.236  11.213  11.234  11.226  11.265  11.411  11.448  11.308  11.332  11.460  11.503  -1.181  10.585  11.262  11.227  11.291  11.354  11.554  11.590  11.694  11.739	11.237
   13718.  7.97035 -2.255033   1.958703400 0.10E+01   9.897  10.140  10.426  10.467  11.436  11.414  11.404  11.364  11.394  11.379  11.408  11.566  11.600  11.433  11.455  11.577  11.621  -0.978  10.818  11.455  11.381  11.432  11.476  11.653  11.680  11.779  11.820	11.385
   12646.  7.97492 -2.400923   2.027882400 0.10E+01  10.241  10.398  10.628  10.665  11.609  11.577  11.554  11.501  11.537  11.514  11.532  11.703  11.731  11.536  11.557  11.675  11.717  -0.753  11.011  11.625  11.522  11.553  11.576  11.735  11.753  11.849  11.891	11.519
   11638.  7.97936 -2.549578   2.113151700 0.10E+01  10.638  10.696  10.859  10.891  11.813  11.771  11.736  11.671  11.712  11.677  11.682  11.852  11.873  11.660  11.677  11.786  11.825  -0.555  11.229  11.827  11.695  11.699  11.696  11.829  11.832  11.925  11.966	11.683
   10555.  7.98431 -2.724240   2.236698600 0.10E+01  11.192  11.139  11.208  11.230  12.128  12.074  12.026  11.945  11.990  11.937  11.924  12.064  12.075  11.862  11.872  11.956  11.987  -0.395  11.557  12.139  11.972  11.936  11.889  11.976  11.950  12.037  12.074	11.945
    9535.  7.98886 -2.905302   2.398072100 0.10E+01  11.830  11.650  11.607  11.618  12.517  12.451  12.392  12.295  12.340  12.265  12.230  12.307  12.306  12.124  12.121  12.166  12.189  -0.294  11.933  12.523  12.324  12.236  12.139  12.156  12.090  12.171  12.206	12.276
    8485.  7.99340 -3.112584   2.639398600 0.10E+01  12.654  12.300  12.113  12.110  13.008  12.926  12.856  12.732  12.780  12.677  12.617  12.596  12.599  12.459  12.443  12.442  12.468  -0.218  12.409  13.008  12.765  12.617  12.461  12.381  12.263  12.334  12.360	12.690
    7473.  7.99821 -3.338101   3.001601900 0.10E+01  13.765  13.130  12.753  12.733  13.579  13.468  13.381  13.219  13.276  13.141  13.052  12.933  12.962  12.836  12.807  12.767  12.798  -0.147  13.007  13.572  13.258  13.045  12.824  12.634  12.457  12.509  12.516	13.147
    6447.  8.00364 -3.599934   3.612681000 0.10E+01  15.570  14.402  13.700  13.656  14.331  14.163  14.042  13.818  13.897  13.716  13.586  13.384  13.448  13.288  13.245  13.162  13.197  -0.102  13.882  14.311  13.868  13.566  13.260  12.946  12.706  12.718  12.685	13.699
    5941.  8.00707 -3.745386   4.137038700 0.10E+01  16.810  15.308  14.349  14.286  14.813  14.600  14.452  14.185  14.281  14.068  13.911  13.675  13.753  13.558  13.507  13.398  13.434  -0.112  14.474  14.783  14.242  13.882  13.520  13.136  12.866  12.849  12.785	14.028
    5427.  8.01204 -3.907494   5.173140900 0.10E+01  18.400  16.554  15.191  15.097  15.395  15.125  14.944  14.627  14.742  14.491  14.304  14.039  14.126  13.885  13.823  13.684  13.721  -0.157  15.221  15.354  14.692  14.264  13.834  13.366  13.060  13.012  12.913	14.421
    4922.  8.01808 -4.083422   7.328593200 0.10E+01  20.617  18.391  16.434  16.302  16.104  15.748  15.521  15.148  15.285  14.989  14.771  14.482  14.572  14.278  14.203  14.027  14.066  -0.248  16.259  16.045  15.222  14.718  14.212  13.638  13.300  13.252  13.093	14.878
    4667.  8.02071 -4.178453   9.098445100 0.10E+01  21.791  19.451  17.228  17.091  16.519  16.097  15.838  15.432  15.582  15.259  15.023  14.722  14.814  14.490  14.407  14.212  14.252  -0.298  16.924  16.446  15.510  14.963  14.416  13.789  13.479  13.467  13.243	15.120
    4407.  8.02279 -4.279964  10.694862100 0.10E+01  22.984  20.531  18.061  17.926  16.961  16.458  16.159  15.716  15.880  15.530  15.275  14.962  15.054  14.701  14.612  14.398  14.438  -0.334  17.637  16.871  15.800  15.207  14.620  13.956  13.756  13.782  13.468	15.358
    4154.  8.02430 -4.384260  12.097144100 0.10E+01  23.718  21.471  18.848  18.717  17.406  16.814  16.473  15.989  16.169  15.789  15.516  15.192  15.284  14.905  14.809  14.581  14.620  -0.352  18.330  17.295  16.079  15.441  14.817  14.166  14.135  14.208  13.753	15.585
    3889.  8.02546 -4.499727  13.312188900 0.10E+01  24.256  22.369  19.582  19.458  17.822  17.147  16.770  16.244  16.439  16.029  15.738  15.404  15.496  15.101  15.001  14.768  14.799  -0.323  18.961  17.689  16.339  15.658  15.008  14.469  14.622  14.785  14.103	15.727
    3617.  8.02639 -4.626745  14.423753400 0.10E+01  24.658  23.147  20.269  20.156  18.210  17.462  17.059  16.490  16.699  16.261  15.953  15.610  15.701  15.311  15.212  14.990  15.004  -0.257  19.550  18.056  16.590  15.872  15.218  14.892  15.184  15.448  14.474	15.868
    3343.  8.02712 -4.764274  15.553325100 0.10E+01  25.011  23.821  20.893  20.794  18.569  17.757  17.333  16.724  16.947  16.485  16.163  15.810  15.902  15.563  15.470  15.277  15.263  -0.153  20.085  18.396  16.830  16.091  15.478  15.412  15.795  16.132  14.840	16.022
    3073.  8.02769 -4.911197  16.711969000 0.10E+01  25.363  24.417  21.472  21.386  18.904  18.036  17.596  16.953  17.187  16.710  16.377  16.016  16.108  15.894  15.812  15.653  15.609  -0.019  20.585  18.714  17.063  16.328  15.828  15.997  16.403  16.817  15.177	16.205
    2814.  8.02815 -5.064871  17.897835300 0.10E+01  25.720  24.962  21.985  21.914  19.211  18.296  17.845  17.172  17.415  16.937  16.596  16.228  16.320  16.314  16.242  16.106  16.035   0.142  21.029  19.004  17.286  16.583  16.277  16.611  16.972  17.487  15.490	16.420
    2543.  8.02854 -5.240608  19.223351200 0.10E+01  26.121  25.485  22.496  22.444  19.514  18.569  18.112  17.416  17.666  17.203  16.859  16.488  16.582  16.894  16.832  16.698  16.596   0.335  21.454  19.298  17.533  16.894  16.897  17.352  17.626  18.321  15.852	16.706
    2520.  8.02857 -5.256743  19.344409700 0.10E+01  26.160  25.531  22.541  22.492  19.546  18.597  18.139  17.440  17.691  17.230  16.886  16.516  16.610  16.953  16.890  16.754  16.650   0.350  21.496  19.328  17.558  16.925  16.958  17.397  17.651  18.358  15.867	16.733
