 
   Teff    log g   log L/Lo     Age(Gyr)      Y       F220W   F250W   F330W   F344N   F435W   F475W   F502N   F550M   F555W   F606W   F625W   F658N   F660N   F775W   F814W  F850LP   F892N   BC(V)    M_U     M_B     M_V     M_R      M_I    M_J     M_H     M_K      M_L	G	BP	RP
   60541.  7.91160  0.429110   0.743237800 0.10E+01   5.489   6.056   6.737   6.827   8.451   8.594   8.732   8.828   8.758   8.793   8.910   8.870   8.948   9.087   9.119   9.287   9.312  -5.113   7.246   8.486   8.807   8.955   9.152   9.576   9.704   9.875   9.977	 8.793	 8.607	 9.112
   57795.  7.92384  0.336221   0.743409900 0.10E+01   5.575   6.139   6.818   6.908   8.527   8.668   8.806   8.900   8.832   8.866   8.982   8.946   9.022   9.158   9.190   9.358   9.383  -4.954   7.326   8.562   8.879   9.027   9.223   9.646   9.773   9.944  10.046	 8.866	 8.681	 9.184
   55192.  7.93518  0.244845   0.743602300 0.10E+01   5.661   6.222   6.897   6.986   8.601   8.741   8.877   8.970   8.903   8.937   9.053   9.019   9.094   9.227   9.259   9.428   9.452  -4.796   7.405   8.636   8.950   9.097   9.292   9.714   9.840  10.011  10.113	 8.938	 8.754	 9.253
   52721.  7.94551  0.154946   0.743816900 0.10E+01   5.744   6.303   6.975   7.064   8.674   8.813   8.946   9.039   8.973   9.007   9.121   9.091   9.165   9.295   9.326   9.495   9.519  -4.640   7.482   8.709   9.019   9.165   9.359   9.780   9.905  10.076  10.178	 9.008	 8.826	 9.321
   50399.  7.95511  0.067081   0.744056700 0.10E+01   5.828   6.383   7.051   7.140   8.745   8.882   9.015   9.106   9.041   9.074   9.188   9.162   9.234   9.360   9.392   9.561   9.585  -4.488   7.558   8.780   9.087   9.232   9.425   9.844   9.969  10.140  10.242	 9.077	 8.896	 9.387
   48211.  7.96409 -0.018989   0.744325800 0.10E+01   5.911   6.463   7.128   7.216   8.816   8.952   9.082   9.173   9.109   9.142   9.254   9.232   9.303   9.425   9.457   9.626   9.649  -4.340   7.634   8.851   9.154   9.298   9.490   9.907  10.031  10.202  10.305	 9.145	 8.965	 9.452
   46162.  7.97244 -0.102808   0.744627700 0.10E+01   5.994   6.543   7.204   7.292   8.886   9.020   9.149   9.238   9.175   9.208   9.320   9.302   9.370   9.489   9.521   9.690   9.713  -4.196   7.709   8.921   9.220   9.364   9.554   9.969  10.093  10.263  10.366	 9.212	 9.034	 9.517
   43610.  7.98251 -0.211650   0.745086900 0.10E+01   6.106   6.650   7.307   7.394   8.980   9.111   9.237   9.325   9.264   9.296   9.406   9.395   9.461   9.574   9.606   9.774   9.798  -4.012   7.810   9.014   9.307   9.450   9.638  10.052  10.174  10.344  10.448	 9.301	 9.125	 9.602
   41254.  7.99178 -0.317399   0.745625100 0.10E+01   6.221   6.761   7.412   7.499   9.075   9.204   9.326   9.413   9.354   9.385   9.494   9.490   9.552   9.659   9.691   9.860   9.883  -3.836   7.914   9.110   9.395   9.537   9.723  10.134  10.255  10.425  10.530	 9.391	 9.218	 9.688
   39069.  8.00029 -0.420454   0.746261600 0.10E+01   6.340   6.876   7.521   7.607   9.173   9.299   9.418   9.502   9.445   9.476   9.583   9.587   9.646   9.746   9.778   9.947   9.970  -3.668   8.022   9.207   9.486   9.626   9.810  10.218  10.337  10.507  10.612	 9.483	 9.313	 9.775
   37026.  8.00799 -0.521440   0.747022500 0.10E+01   6.470   7.000   7.640   7.725   9.278   9.400   9.515   9.598   9.543   9.573   9.678   9.692   9.747   9.838   9.871  10.040  10.063  -3.512   8.139   9.312   9.582   9.721   9.902  10.306  10.423  10.593  10.699	 9.582	 9.415	 9.869
   34669.  8.01687 -0.644604   0.748215000 0.10E+01   6.649   7.173   7.804   7.888   9.422   9.538   9.647   9.726   9.675   9.704   9.807   9.835   9.884   9.963   9.995  10.164  10.188  -3.334   8.301   9.455   9.712   9.849  10.026  10.424  10.538  10.707  10.814	 9.715	 9.553	 9.994
   32496.  8.02501 -0.765166   0.749797200 0.10E+01   6.853   7.371   7.992   8.075   9.583   9.692   9.794   9.869   9.823   9.850   9.950   9.996  10.037  10.100  10.133  10.302  10.326  -3.177   8.486   9.616   9.856   9.991  10.163  10.553  10.663  10.829  10.937	 9.864	 9.708	10.133
   30115.  8.03381 -0.906156   0.752506000 0.10E+01   7.128   7.635   8.241   8.322   9.792   9.891   9.983  10.052  10.011  10.036  10.131  10.198  10.232  10.274  10.306  10.474  10.499  -3.009   8.730   9.824  10.040  10.171  10.335  10.711  10.814  10.976  11.082	10.054	 9.907	10.309
   27939.  8.04189 -1.044512   0.756735800 0.10E+01   7.409   7.901   8.485   8.563   9.992  10.080  10.163  10.224  10.190  10.212  10.301  10.380  10.411  10.434  10.466  10.630  10.656  -2.838   8.968  10.023  10.215  10.340  10.494  10.852  10.947  11.103  11.203	10.233	10.096	10.471
   25640.  8.05046 -1.202273   0.765061300 0.10E+01   7.719   8.187   8.741   8.815  10.200  10.276  10.349  10.401  10.373  10.391  10.474  10.558  10.589  10.596  10.626  10.785  10.813  -2.622   9.215  10.229  10.394  10.511  10.654  10.991  11.078  11.225  11.316	10.417	10.291	10.635
   23582.  8.05820 -1.355410   0.778780400 0.10E+01   8.012   8.455   8.979   9.050  10.389  10.455  10.518  10.560  10.539  10.553  10.630  10.719  10.752  10.741  10.770  10.923  10.953  -2.402   9.445  10.417  10.556  10.666  10.797  11.115  11.194  11.334  11.416	10.583	10.468	10.782
   21521.  8.06582 -1.521900   0.801143400 0.10E+01   8.332   8.746   9.238   9.304  10.592  10.645  10.696  10.729  10.714  10.724  10.794  10.890  10.925  10.894  10.921  11.070  11.101  -2.157   9.693  10.618  10.728  10.828  10.948  11.244  11.316  11.449  11.521	10.759	10.656	10.937
   19442.  8.07334 -1.705903   0.835337100 0.10E+01   8.697   9.080   9.533   9.594  10.818  10.855  10.894  10.914  10.908  10.914  10.976  11.082  11.119  11.061  11.088  11.231  11.265  -1.885   9.977  10.842  10.916  11.008  11.113  11.386  11.448  11.573  11.637	10.953	10.863	11.107
