 
   Teff    log g   log L/Lo     Age(Gyr)      Y       F220W   F250W   F330W   F344N   F435W   F475W   F502N   F550M   F555W   F606W   F625W   F658N   F660N   F775W   F814W  F850LP   F892N   BC(V)    M_U     M_B     M_V     M_R      M_I    M_J     M_H     M_K      M_L	G
   60567.  8.15153  0.255272   0.288228800 0.10E+01   5.927   6.493   7.175   7.265   8.890   9.033   9.171   9.265   9.197   9.232   9.348   9.312   9.390   9.525   9.556   9.725   9.749  -5.117   7.684   8.926   9.245   9.393   9.590  10.015  10.143  10.315  10.417	 9.271
   57786.  8.15909  0.166052   0.288374700 0.10E+01   6.002   6.566   7.244   7.334   8.955   9.097   9.232   9.326   9.259   9.293   9.409   9.376   9.452   9.584   9.616   9.784   9.808  -4.955   7.753   8.990   9.306   9.454   9.649  10.073  10.200  10.372  10.474	 9.332
   55168.  8.16611  0.078503   0.288538100 0.10E+01   6.076   6.637   7.312   7.402   9.019   9.159   9.293   9.386   9.320   9.354   9.468   9.439   9.514   9.643   9.674   9.843   9.866  -4.796   7.820   9.054   9.366   9.513   9.708  10.130  10.256  10.428  10.531	 9.392
   52714.  8.17271 -0.007157   0.288722100 0.10E+01   6.150   6.708   7.380   7.469   9.082   9.220   9.353   9.445   9.379   9.413   9.527   9.501   9.575   9.700   9.732   9.900   9.924  -4.641   7.887   9.117   9.425   9.571   9.765  10.186  10.312  10.483  10.586	 9.451
   50420.  8.17888 -0.090609   0.288929400 0.10E+01   6.223   6.779   7.448   7.536   9.144   9.281   9.412   9.502   9.438   9.472   9.585   9.563   9.634   9.757   9.788   9.956   9.980  -4.491   7.954   9.179   9.483   9.629   9.821  10.241  10.366  10.537  10.640	 9.509
   48262.  8.18455 -0.172269   0.289163000 0.10E+01   6.297   6.849   7.515   7.603   9.206   9.341   9.470   9.560   9.497   9.530   9.642   9.624   9.694   9.812   9.844  10.012  10.035  -4.344   8.020   9.240   9.541   9.686   9.877  10.295  10.419  10.590  10.694	 9.567
   46240.  8.18982 -0.251901   0.289427100 0.10E+01   6.371   6.920   7.582   7.670   9.267   9.401   9.528   9.617   9.555   9.587   9.699   9.685   9.753   9.868   9.899  10.068  10.091  -4.202   8.087   9.302   9.598   9.742   9.932  10.349  10.472  10.643  10.747	 9.624
   43738.  8.19636 -0.355057   0.289838000 0.10E+01   6.471   7.016   7.674   7.761   9.350   9.481   9.606   9.693   9.633   9.664   9.775   9.767   9.833   9.942   9.973  10.142  10.164  -4.021   8.177   9.385   9.675   9.818  10.006  10.420  10.542  10.713  10.818	 9.701
   41429.  8.20234 -0.455287   0.290334200 0.10E+01   6.575   7.116   7.768   7.854   9.435   9.564   9.685   9.770   9.712   9.743   9.852   9.852   9.914  10.017  10.049  10.217  10.239  -3.849   8.270   9.469   9.753   9.895  10.081  10.493  10.613  10.784  10.889	 9.779
   39286.  8.20776 -0.552969   0.290945200 0.10E+01   6.683   7.219   7.865   7.951   9.522   9.648   9.766   9.849   9.793   9.824   9.931   9.938   9.998  10.093  10.125  10.294  10.316  -3.684   8.367   9.557   9.833   9.973  10.157  10.566  10.685  10.855  10.961	 9.858
   36824.  8.21404 -0.671674   0.291945400 0.10E+01   6.830   7.361   8.000   8.085   9.641   9.762   9.875   9.956   9.903   9.932  10.037  10.057  10.111  10.196  10.228  10.397  10.419  -3.495   8.499   9.675   9.940  10.079  10.260  10.664  10.781  10.950  11.057	 9.965
   34572.  8.21983 -0.787059   0.293358800 0.10E+01   6.995   7.520   8.151   8.235   9.772   9.888   9.995  10.072  10.023  10.051  10.154  10.188  10.237  10.309  10.341  10.510  10.531  -3.324   8.648   9.806  10.058  10.195  10.372  10.771  10.884  11.053  11.161	10.083
   32509.  8.22514 -0.899295   0.295472300 0.10E+01   7.183   7.701   8.323   8.405   9.919  10.028  10.128  10.202  10.157  10.184  10.283  10.335  10.376  10.433  10.465  10.634  10.656  -3.175   8.817   9.953  10.189  10.324  10.495  10.887  10.996  11.162  11.271	10.214
   30251.  8.23108 -1.030259   0.299707600 0.10E+01   7.433   7.942   8.550   8.631  10.110  10.209  10.300  10.367  10.328  10.353  10.448  10.519  10.554  10.590  10.622  10.790  10.812  -3.014   9.040  10.142  10.356  10.487  10.651  11.030  11.132  11.295  11.401	10.380
   28207.  8.23662 -1.157312   0.307154800 0.10E+01   7.689   8.184   8.772   8.851  10.293  10.382  10.463  10.523  10.490  10.512  10.602  10.686  10.717  10.736  10.767  10.931  10.955  -2.855   9.257  10.325  10.515  10.641  10.795  11.158  11.253  11.410  11.511	10.509
   26161.  8.24220 -1.293739   0.320415600 0.10E+01   7.957   8.432   8.995   9.070  10.474  10.552  10.624  10.676  10.649  10.668  10.751  10.842  10.872  10.875  10.905  11.065  11.090  -2.669   9.472  10.504  10.669  10.789  10.933  11.277  11.365  11.515  11.608	10.663
   24027.  8.24789 -1.447270   0.342013600 0.10E+01   8.249   8.699   9.231   9.303  10.663  10.730  10.792  10.834  10.813  10.828  10.906  11.000  11.033  11.018  11.047  11.202  11.228  -2.446   9.700  10.692  10.831  10.942  11.074  11.399  11.479  11.622  11.706	10.855
   21794.  8.25365 -1.622460   0.375116800 0.10E+01   8.583   9.003   9.501   9.568  10.874  10.928  10.979  11.009  10.996  11.006  11.076  11.177  11.213  11.176  11.204  11.353  11.381  -2.186   9.960  10.902  11.008  11.110  11.230  11.532  11.604  11.739  11.813	11.030
   19760.  8.25876 -1.797737   0.418315900 0.10E+01   8.927   9.317   9.778   9.840  11.087  11.126  11.164  11.182  11.177  11.184  11.246  11.357  11.394  11.332  11.359  11.503  11.533  -1.924  10.226  11.113  11.185  11.278  11.384  11.663  11.727  11.853  11.919	11.205
   18704.  8.26136 -1.895733   0.447356200 0.10E+01   9.126   9.498   9.938   9.998  11.208  11.238  11.269  11.279  11.279  11.283  11.341  11.459  11.498  11.420  11.446  11.587  11.618  -1.778  10.380  11.233  11.284  11.372  11.471  11.736  11.795  11.917  11.979	11.302
   17698.  8.26380 -1.994288   0.480636800 0.10E+01   9.330   9.685  10.103  10.160  11.332  11.352  11.376  11.376  11.383  11.384  11.437  11.563  11.603  11.508  11.533  11.671  11.704  -1.632  10.538  11.356  11.384  11.467  11.557  11.808  11.862  11.980  12.038	11.401
   16549.  8.26655 -2.113592   0.527053100 0.10E+01   9.585   9.917  10.307  10.360  11.484  11.493  11.506  11.495  11.509  11.507  11.554  11.691  11.732  11.614  11.638  11.773  11.806  -1.455  10.733  11.507  11.505  11.582  11.662  11.895  11.943  12.056  12.108	11.519
   15465.  8.26909 -2.233825   0.581817100 0.10E+01   9.850  10.156  10.513  10.563  11.641  11.637  11.641  11.616  11.637  11.631  11.672  11.820  11.859  11.719  11.742  11.873  11.907  -1.279  10.930  11.663  11.629  11.698  11.765  11.980  12.020  12.128  12.177	11.640
   14444.  8.27145 -2.354895   0.646669000 0.10E+01  10.128  10.397  10.711  10.756  11.798  11.783  11.777  11.737  11.766  11.754  11.787  11.944  11.981  11.818  11.840  11.966  12.000  -1.101  11.118  11.819  11.754  11.811  11.862  12.059  12.091  12.195  12.241	11.760
   13324.  8.27400 -2.497606   0.738010000 0.10E+01  10.459  10.649  10.908  10.948  11.963  11.938  11.920  11.867  11.903  11.883  11.905  12.074  12.105  11.917  11.938  12.059  12.093  -0.878  11.304  11.981  11.888  11.927  11.958  12.137  12.160  12.261  12.307	11.888
   12272.  8.27646 -2.642966   0.850569200 0.10E+01  10.814  10.913  11.112  11.147  12.137  12.103  12.074  12.011  12.051  12.022  12.033  12.208  12.232  12.023  12.041  12.156  12.187  -0.661  11.497  12.154  12.034  12.052  12.060  12.219  12.230  12.327  12.372	12.026
   11141.  8.27924 -2.813659   1.013301600 0.10E+01  11.329  11.325  11.438  11.465  12.420  12.374  12.331  12.254  12.298  12.254  12.248  12.406  12.423  12.203  12.216  12.311  12.338  -0.480  11.804  12.434  12.280  12.262  12.233  12.351  12.339  12.430  12.471	12.259
   10083.  8.28181 -2.989667   1.225265300 0.10E+01  11.915  11.798  11.811  11.828  12.767  12.709  12.655  12.565  12.610  12.546  12.521  12.633  12.637  12.435  12.437  12.500  12.521  -0.353  12.155  12.777  12.593  12.530  12.455  12.514  12.467  12.553  12.591	12.555
    8984.  8.28438 -3.192563   1.546281000 0.10E+01  12.679  12.406  12.287  12.291  13.226  13.154  13.090  12.979  13.025  12.935  12.886  12.908  12.907  12.751  12.740  12.756  12.780  -0.262  12.601  13.230  13.010  12.889  12.758  12.726  12.631  12.710  12.741	12.948
    7971.  8.28702 -3.403048   2.141860100 0.10E+01  13.618  13.124  12.844  12.833  13.733  13.640  13.563  13.422  13.473  13.354  13.280  13.204  13.219  13.094  13.070  13.048  13.078  -0.183  13.122  13.731  13.457  13.276  13.089  12.954  12.807  12.870  12.888	13.365
    6952.  8.28991 -3.643684   3.239048800 0.10E+01  15.071  14.157  13.622  13.590  14.371  14.237  14.136  13.945  14.011  13.855  13.747  13.581  13.629  13.493  13.457  13.397  13.430  -0.113  13.842  14.358  13.988  13.734  13.474  13.225  13.018  13.052  13.040	13.852
    6433.  8.29158 -3.780197   4.115639200 0.10E+01  16.115  14.896  14.162  14.115  14.782  14.612  14.489  14.263  14.343  14.160  14.029  13.824  13.889  13.729  13.686  13.603  13.637  -0.097  14.338  14.761  14.313  14.009  13.701  13.389  13.153  13.163  13.125	14.142
    5926.  8.29361 -3.924835   5.279792300 0.10E+01  17.406  15.840  14.819  14.751  15.261  15.046  14.896  14.628  14.724  14.510  14.352  14.115  14.194  13.998  13.946  13.838  13.873  -0.107  14.934  15.231  14.685  14.323  13.959  13.578  13.311  13.292  13.224	14.469
    5422.  8.29633 -4.081687   6.899377300 0.10E+01  18.971  17.099  15.669  15.569  15.829  15.556  15.374  15.057  15.172  14.921  14.734  14.469  14.556  14.316  14.254  14.115  14.151  -0.151  15.679  15.787  15.122  14.694  14.265  13.800  13.496  13.450  13.347	14.851
    4907.  8.29941 -4.258455   9.742465500 0.10E+01  21.254  19.012  16.981  16.848  16.549  16.181  15.948  15.575  15.712  15.416  15.197  14.908  14.999  14.705  14.630  14.455  14.493  -0.237  16.770  16.487  15.649  15.145  14.640  14.068  13.744  13.713  13.539	15.303
    4646.  8.30060 -4.354416  11.107392500 0.10E+01  22.486  20.089  17.786  17.650  16.967  16.528  16.260  15.852  16.003  15.681  15.444  15.142  15.235  14.912  14.830  14.635  14.675  -0.279  17.447  16.891  15.931  15.384  14.838  14.219  13.948  13.958  13.712	15.537
    4386.  8.30149 -4.455420  12.279368000 0.10E+01  23.549  21.106  18.590  18.456  17.399  16.878  16.569  16.125  16.290  15.939  15.685  15.372  15.464  15.113  15.025  14.813  14.853  -0.304  18.142  17.305  16.209  15.617  15.033  14.391  14.255  14.298  13.954	15.764
    4129.  8.30218 -4.560926  13.310775200 0.10E+01  24.202  22.012  19.350  19.220  17.835  17.227  16.877  16.391  16.572  16.192  15.919  15.595  15.687  15.313  15.218  14.995  15.031  -0.313  18.811  17.720  16.481  15.844  15.226  14.623  14.668  14.783  14.265	15.985
    3856.  8.30272 -4.680334  14.275154000 0.10E+01  24.699  22.868  20.063  19.941  18.246  17.559  17.176  16.647  16.843  16.433  16.142  15.808  15.900  15.513  15.416  15.191  15.218  -0.276  19.426  18.110  16.743  16.063  15.423  14.962  15.177  15.382  14.619	16.121
    3600.  8.30311 -4.799861  15.108091600 0.10E+01  25.062  23.560  20.670  20.558  18.597  17.848  17.443  16.875  17.085  16.650  16.343  16.001  16.092  15.718  15.622  15.411  15.419  -0.210  19.945  18.443  16.976  16.265  15.628  15.377  15.709  15.995  14.959	16.260
    3343.  8.30341 -4.928764  15.902817500 0.10E+01  25.397  24.170  21.243  21.143  18.931  18.126  17.703  17.101  17.322  16.867  16.548  16.197  16.289  15.970  15.880  15.697  15.679  -0.118  20.440  18.760  17.206  16.480  15.889  15.865  16.248  16.588  15.274	16.419
    3069.  8.30368 -5.077998  16.726287500 0.10E+01  25.753  24.749  21.788  21.701  19.257  18.404  17.968  17.337  17.567  17.099  16.770  16.411  16.503  16.315  16.236  16.085  16.038   0.015  20.909  19.071  17.445  16.727  16.254  16.457  16.861  17.278  15.612	16.623
    2803.  8.30389 -5.235795  17.480540300 0.10E+01  26.117  25.291  22.299  22.227  19.553  18.666  18.222  17.566  17.804  17.338  17.002  16.638  16.730  16.756  16.687  16.555  16.481   0.177  21.346  19.355  17.678  16.996  16.724  17.089  17.444  17.996  15.931	16.867
    2551.  8.30406 -5.399515  18.164090000 0.10E+01  26.492  25.744  22.700  22.639  19.842  18.932  18.483  17.806  18.050  17.598  17.260  16.892  16.986  17.304  17.243  17.112  17.008   0.343  21.699  19.638  17.921  17.296  17.308  17.765  18.006  18.678  16.238	17.144
    2502.  8.30409 -5.433014  18.292230100 0.10E+01  26.561  25.792  22.753  22.691  19.895  18.979  18.530  17.849  18.094  17.647  17.309  16.942  17.036  17.424  17.364  17.232  17.122   0.384  21.756  19.688  17.965  17.354  17.436  17.924  18.147  18.866  16.316	17.199
