 
   Teff    log g   log L/Lo     Age(Gyr)      Y       F220W   F250W   F330W   F344N   F435W   F475W   F502N   F550M   F555W   F606W   F625W   F658N   F660N   F775W   F814W  F850LP   F892N   BC(V)    M_U     M_B     M_V     M_R      M_I    M_J     M_H     M_K      M_L	G	BP	RP
   60265.  8.02015  0.341406   0.444153400 0.10E+01   5.695   6.261   6.942   7.033   8.656   8.799   8.937   9.032   8.963   8.998   9.114   9.077   9.154   9.291   9.323   9.491   9.516  -5.099   7.451   8.691   9.011   9.159   9.356   9.781   9.908  10.080  10.182	 8.997	 8.811	 9.316
   57495.  8.03004  0.249780   0.444315600 0.10E+01   5.776   6.339   7.017   7.107   8.727   8.868   9.005   9.099   9.031   9.065   9.181   9.147   9.223   9.357   9.389   9.557   9.581  -4.937   7.526   8.762   9.078   9.226   9.422   9.845   9.972  10.143  10.245	 9.066	 8.881	 9.383
   54865.  8.03910  0.159392   0.444496900 0.10E+01   5.856   6.417   7.092   7.181   8.797   8.936   9.071   9.164   9.098   9.132   9.247   9.215   9.290   9.421   9.453   9.621   9.645  -4.777   7.600   8.832   9.144   9.291   9.486   9.908  10.034  10.205  10.307	 9.133	 8.950	 9.447
   52391.  8.04752  0.070799   0.444699900 0.10E+01   5.936   6.494   7.165   7.254   8.865   9.003   9.136   9.228   9.163   9.196   9.311   9.283   9.356   9.484   9.516   9.684   9.708  -4.620   7.672   8.900   9.209   9.355   9.549   9.969  10.094  10.266  10.368	 9.198	 9.016	 9.511
   50064.  8.05543 -0.016043   0.444928200 0.10E+01   6.016   6.570   7.238   7.327   8.933   9.069   9.201   9.292   9.227   9.261   9.374   9.350   9.422   9.546   9.577   9.746   9.769  -4.466   7.745   8.967   9.273   9.418   9.610  10.029  10.154  10.325  10.428	 9.263	 9.082	 9.572
   47885.  8.06280 -0.100685   0.445185000 0.10E+01   6.095   6.647   7.311   7.400   9.000   9.135   9.264   9.354   9.291   9.324   9.436   9.417   9.487   9.607   9.639   9.807   9.830  -4.318   7.817   9.034   9.336   9.480   9.671  10.089  10.213  10.384  10.487	 9.327	 9.148	 9.634
   45835.  8.06957 -0.183475   0.445473700 0.10E+01   6.175   6.723   7.385   7.473   9.067   9.200   9.328   9.417   9.354   9.387   9.498   9.483   9.551   9.667   9.699   9.868   9.891  -4.173   7.889   9.101   9.398   9.542   9.732  10.148  10.271  10.442  10.545	 9.391	 9.213	 9.695
   43294.  8.07790 -0.290901   0.445916700 0.10E+01   6.283   6.827   7.484   7.571   9.157   9.288   9.412   9.500   9.439   9.471   9.581   9.573   9.638   9.748   9.780   9.949   9.972  -3.988   7.987   9.191   9.482   9.625   9.812  10.226  10.348  10.518  10.622	 9.476	 9.301	 9.776
   40955.  8.08558 -0.395049   0.446442400 0.10E+01   6.395   6.935   7.586   7.672   9.249   9.377   9.498   9.584   9.525   9.556   9.665   9.664   9.726   9.830   9.862  10.031  10.053  -3.813   8.088   9.283   9.567   9.708   9.894  10.305  10.425  10.596  10.700	 9.563	 9.391	 9.859
   38785.  8.09253 -0.496562   0.447073300 0.10E+01   6.512   7.047   7.692   7.778   9.344   9.469   9.586   9.670   9.614   9.644   9.751   9.759   9.817   9.914   9.946  10.114  10.137  -3.646   8.192   9.378   9.654   9.794   9.977  10.385  10.504  10.674  10.780	 9.652	 9.483	 9.943
   36776.  8.09890 -0.595339   0.447843800 0.10E+01   6.638   7.169   7.807   7.892   9.446   9.567   9.681   9.762   9.708   9.738   9.843   9.860   9.915  10.003  10.035  10.204  10.226  -3.492   8.306   9.480   9.747   9.886  10.066  10.470  10.587  10.756  10.863	 9.748	 9.582	10.033
   34462.  8.10625 -0.715589   0.449088900 0.10E+01   6.814   7.338   7.968   8.052   9.586   9.701   9.809   9.887   9.837   9.866   9.968  10.000  10.048  10.123  10.156  10.325  10.347  -3.318   8.465   9.619   9.873  10.010  10.186  10.584  10.698  10.866  10.974	 9.877	 9.716	10.155
   32342.  8.11294 -0.832590   0.450808100 0.10E+01   7.013   7.531   8.151   8.234   9.742   9.851   9.951  10.025   9.980  10.007  10.106  10.156  10.197  10.256  10.288  10.457  10.480  -3.165   8.645   9.775  10.012  10.147  10.318  10.708  10.817  10.984  11.092	10.021	 9.866	10.289
   30030.  8.12029 -0.968742   0.453928800 0.10E+01   7.278   7.785   8.391   8.472   9.943  10.041  10.132  10.200  10.160  10.185  10.280  10.350  10.384  10.422  10.454  10.621  10.645  -3.001   8.880   9.975  10.189  10.319  10.483  10.859  10.961  11.123  11.229	10.203	10.057	10.457
   27927.  8.12706 -1.101663   0.459119900 0.10E+01   7.547   8.039   8.624   8.701  10.134  10.222  10.303  10.363  10.330  10.352  10.441  10.523  10.553  10.574  10.605  10.769  10.794  -2.834   9.106  10.165  10.354  10.479  10.633  10.992  11.087  11.243  11.342	10.373	10.237	10.610
   25707.  8.13429 -1.252794   0.469605700 0.10E+01   7.843   8.312   8.868   8.942  10.332  10.409  10.480  10.531  10.504  10.522  10.605  10.693  10.724  10.727  10.757  10.916  10.943  -2.627   9.343  10.362  10.525  10.642  10.785  11.124  11.211  11.358  11.449	10.549	10.423	10.766
   23503.  8.14144 -1.415679   0.488211600 0.10E+01   8.153   8.595   9.119   9.190  10.532  10.597  10.658  10.699  10.679  10.693  10.769  10.861  10.894  10.879  10.908  11.061  11.090  -2.391   9.585  10.561  10.696  10.805  10.935  11.253  11.332  11.472  11.554	10.724	10.610	10.920
   21281.  8.14847 -1.595164   0.517891700 0.10E+01   8.498   8.910   9.398   9.464  10.750  10.801  10.850  10.879  10.867  10.877  10.945  11.044  11.080  11.042  11.070  11.218  11.248  -2.125   9.853  10.777  10.879  10.979  11.096  11.391  11.461  11.594  11.666	10.912	10.811	11.086
   19084.  8.15526 -1.791285   0.562589800 0.10E+01   8.889   9.267   9.713   9.774  10.990  11.024  11.060  11.075  11.072  11.077  11.137  11.248  11.286  11.219  11.245  11.388  11.420  -1.834  10.156  11.015  11.078  11.169  11.271  11.539  11.600  11.724  11.787	11.117	11.032	11.266
   18069.  8.15833 -1.889292   0.590127300 0.10E+01   9.091   9.452   9.876   9.934  11.113  11.138  11.166  11.173  11.175  11.178  11.233  11.352  11.391  11.308  11.333  11.473  11.507  -1.689  10.312  11.137  11.178  11.264  11.358  11.613  11.669  11.788  11.847	11.221	11.144	11.356
   16910.  8.16178 -2.007906   0.628564900 0.10E+01   9.343   9.681  10.079  10.133  11.264  11.277  11.295  11.292  11.301  11.300  11.350  11.480  11.520  11.414  11.439  11.575  11.611  -1.514  10.506  11.287  11.300  11.379  11.463  11.701  11.751  11.865  11.919	11.347	11.280	11.465
