#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.2004 3.5283 2.0000 0.4978 0.345
  2 7.734980e+04 3.2095 3.5273 2.0000 0.4983 0.345
  3 1.550430e+05 3.2192 3.5263 2.0000 0.4988 0.345
  4 2.330940e+05 3.2293 3.5253 2.0000 0.4994 0.345
  5 3.115140e+05 3.2398 3.5239 2.0000 0.5000 0.345
  6 3.903160e+05 3.2506 3.5228 2.0000 0.5006 0.345
  7 4.695110e+05 3.2618 3.5217 2.0000 0.5013 0.345
  8 5.491100e+05 3.2734 3.5204 2.0000 0.5020 0.345
  9 6.291200e+05 3.2853 3.5189 2.0000 0.5028 0.345
 10 7.095510e+05 3.2976 3.5176 2.0000 0.5036 0.345
 11 7.904060e+05 3.3102 3.5163 2.0000 0.5044 0.345
 12 8.716890e+05 3.3232 3.5149 2.0000 0.5054 0.345
 13 9.533990e+05 3.3364 3.5132 2.0000 0.5063 0.345
 14 1.035530e+06 3.3501 3.5117 2.0000 0.5074 0.345
 15 1.118090e+06 3.3640 3.5102 2.0000 0.5085 0.345
 16 1.201050e+06 3.3782 3.5084 2.0000 0.5097 0.345
 17 1.284400e+06 3.3927 3.5068 2.0000 0.5109 0.345
 18 1.368120e+06 3.4075 3.5049 2.0000 0.5122 0.345
 19 1.452180e+06 3.4226 3.5033 2.0000 0.5136 0.345
 20 1.536540e+06 3.4379 3.5016 2.0000 0.5151 0.345
 21 1.621170e+06 3.4534 3.4996 2.0000 0.5167 0.345
 22 1.706020e+06 3.4692 3.4978 2.0000 0.5184 0.345
 23 1.791030e+06 3.4851 3.4957 2.0000 0.5202 0.345
 24 1.876130e+06 3.5012 3.4939 2.0000 0.5221 0.345
 25 1.961250e+06 3.5174 3.4917 2.0000 0.5241 0.345
 26 2.046310e+06 3.5337 3.4895 2.0000 0.5262 0.345
 27 2.131200e+06 3.5502 3.4877 2.0000 0.5285 0.345
 28 2.215840e+06 3.5666 3.4855 1.9999 0.5308 0.345
 29 2.300100e+06 3.5831 3.4836 1.9999 0.5333 0.345
 30 2.383890e+06 3.5996 3.4814 1.9999 0.5359 0.345
 31 2.467070e+06 3.6160 3.4791 1.9998 0.5387 0.345
 32 2.549520e+06 3.6324 3.4772 1.9997 0.5415 0.345
 33 2.631120e+06 3.6486 3.4750 1.9995 0.5445 0.345
 34 2.711740e+06 3.6647 3.4728 1.9993 0.5476 0.345
 35 2.791260e+06 3.6806 3.4705 1.9989 0.5509 0.345
 36 2.869570e+06 3.6963 3.4684 1.9983 0.5542 0.345
 37 2.946560e+06 3.7117 3.4665 1.9975 0.5577 0.345
 38 3.022110e+06 3.7269 3.4643 1.9962 0.5612 0.345
 39 3.096160e+06 3.7418 3.4621 1.9944 0.5649 0.345
 40 3.168600e+06 3.7563 3.4599 1.9916 0.5686 0.345
 41 3.239390e+06 3.7706 3.4577 1.9876 0.5724 0.345
 42 3.308470e+06 3.7845 3.4555 1.9817 0.5763 0.345
 43 3.375800e+06 3.7981 3.4532 1.9729 0.5803 0.345
 44 3.441340e+06 3.8114 3.4507 1.9595 0.5843 0.345
 45 3.505100e+06 3.8243 3.4479 1.9384 0.5883 0.345
 46 3.567070e+06 3.8368 3.4443 1.9027 0.5924 0.345
 47 3.627270e+06 3.8490 3.4386 1.8298 0.5965 0.345
 48 3.685730e+06 3.8607 3.3833 0.9810 0.6007 0.345
