#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.8584 3.4572 3.0000 0.6132 0.357
  2 2.118860e+04 3.8655 3.4559 2.9999 0.6144 0.357
  3 4.247790e+04 3.8721 3.4552 2.9998 0.6154 0.358
  4 6.405320e+04 3.8787 3.4541 2.9997 0.6164 0.358
  5 8.599030e+04 3.8851 3.4533 2.9995 0.6174 0.360
  6 1.083050e+05 3.8913 3.4525 2.9994 0.6183 0.361
  7 1.309780e+05 3.8973 3.4514 2.9991 0.6192 0.363
  8 1.539740e+05 3.9031 3.4507 2.9989 0.6200 0.365
  9 1.772490e+05 3.9087 3.4499 2.9986 0.6209 0.368
 10 2.007590e+05 3.9141 3.4490 2.9982 0.6217 0.371
 11 2.244610e+05 3.9192 3.4483 2.9978 0.6225 0.374
 12 2.483160e+05 3.9240 3.4476 2.9974 0.6234 0.378
 13 2.722890e+05 3.9286 3.4467 2.9968 0.6242 0.383
 14 2.963510e+05 3.9329 3.4461 2.9962 0.6250 0.387
 15 3.204750e+05 3.9371 3.4455 2.9955 0.6258 0.392
 16 3.446410e+05 3.9409 3.4450 2.9948 0.6266 0.398
 17 3.688300e+05 3.9446 3.4444 2.9939 0.6275 0.403
 18 3.930260e+05 3.9481 3.4436 2.9929 0.6283 0.409
 19 4.172160e+05 3.9514 3.4431 2.9919 0.6291 0.415
 20 4.413900e+05 3.9546 3.4426 2.9907 0.6299 0.422
 21 4.655380e+05 3.9575 3.4421 2.9895 0.6308 0.429
 22 4.896530e+05 3.9604 3.4417 2.9881 0.6316 0.435
 23 5.137270e+05 3.9631 3.4412 2.9866 0.6324 0.443
 24 5.377550e+05 3.9657 3.4408 2.9850 0.6333 0.450
 25 5.617330e+05 3.9682 3.4403 2.9832 0.6341 0.457
 26 5.856550e+05 3.9706 3.4399 2.9813 0.6350 0.465
 27 6.095170e+05 3.9730 3.4394 2.9793 0.6359 0.473
 28 6.333170e+05 3.9752 3.4390 2.9771 0.6367 0.480
 29 6.570500e+05 3.9774 3.4386 2.9747 0.6376 0.488
 30 6.807130e+05 3.9796 3.4382 2.9722 0.6385 0.496
 31 7.043050e+05 3.9817 3.4377 2.9695 0.6394 0.504
 32 7.278210e+05 3.9838 3.4373 2.9665 0.6403 0.512
 33 7.512590e+05 3.9858 3.4369 2.9634 0.6412 0.519
 34 7.746160e+05 3.9878 3.4365 2.9600 0.6421 0.527
 35 7.978900e+05 3.9898 3.4360 2.9564 0.6430 0.535
 36 8.210780e+05 3.9917 3.4356 2.9525 0.6439 0.543
 37 8.441760e+05 3.9937 3.4351 2.9483 0.6448 0.551
 38 8.671820e+05 3.9956 3.4347 2.9438 0.6458 0.559
 39 8.900940e+05 3.9975 3.4342 2.9389 0.6467 0.567
 40 9.129070e+05 3.9995 3.4337 2.9337 0.6477 0.574
 41 9.356190e+05 4.0015 3.4332 2.9280 0.6486 0.582
 42 9.582260e+05 4.0035 3.4327 2.9218 0.6496 0.590
 43 9.807250e+05 4.0056 3.4322 2.9151 0.6506 0.598
 44 1.003110e+06 4.0077 3.4316 2.9077 0.6516 0.605
 45 1.025380e+06 4.0099 3.4311 2.8996 0.6526 0.613
 46 1.047530e+06 4.0122 3.4304 2.8906 0.6537 0.621
 47 1.069550e+06 4.0145 3.4298 2.8806 0.6547 0.628
 48 1.091440e+06 4.0168 3.4291 2.8693 0.6558 0.636
 49 1.113190e+06 4.0192 3.4284 2.8565 0.6569 0.643
 50 1.134790e+06 4.0217 3.4275 2.8418 0.6580 0.651
 51 1.156230e+06 4.0242 3.4266 2.8249 0.6591 0.658
 52 1.177510e+06 4.0268 3.4253 2.8049 0.6602 0.665
 53 1.198600e+06 4.0294 3.4242 2.7809 0.6614 0.672
 54 1.219500e+06 4.0321 3.4226 2.7511 0.6627 0.679
 55 1.240180e+06 4.0348 3.4210 2.7124 0.6639 0.686
 56 1.260620e+06 4.0375 3.4182 2.6591 0.6653 0.692
 57 1.280780e+06 4.0402 3.4146 2.5748 0.6667 0.698
 58 1.300590e+06 4.0424 3.4054 2.3634 0.6683 0.703
 59 1.319970e+06 4.0415 3.3541 1.0471 0.6703 0.703
