#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.5719 3.4378 1.6000 0.5433 0.363
  2 3.681950e+04 3.5814 3.4362 1.5987 0.5442 0.363
  3 7.337920e+04 3.5915 3.4345 1.5970 0.5452 0.363
  4 1.096640e+05 3.6017 3.4327 1.5946 0.5462 0.363
  5 1.456600e+05 3.6121 3.4309 1.5914 0.5473 0.363
  6 1.813530e+05 3.6226 3.4287 1.5871 0.5485 0.363
  7 2.167310e+05 3.6331 3.4267 1.5809 0.5497 0.363
  8 2.517820e+05 3.6437 3.4242 1.5721 0.5510 0.363
  9 2.864960e+05 3.6542 3.4218 1.5591 0.5523 0.363
 10 3.208640e+05 3.6647 3.4184 1.5386 0.5536 0.363
 11 3.548790e+05 3.6751 3.4142 1.5029 0.5551 0.363
 12 3.885360e+05 3.6851 3.4065 1.4195 0.5565 0.363
