#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.5783 3.4530 1.9000 0.5363 0.358
  2 3.871640e+04 3.5859 3.4518 1.8999 0.5371 0.358
  3 7.715730e+04 3.5940 3.4507 1.8998 0.5380 0.358
  4 1.153070e+05 3.6024 3.4494 1.8996 0.5390 0.358
  5 1.531510e+05 3.6109 3.4480 1.8994 0.5400 0.358
  6 1.906750e+05 3.6196 3.4469 1.8991 0.5411 0.358
  7 2.278650e+05 3.6284 3.4454 1.8988 0.5422 0.358
  8 2.647100e+05 3.6372 3.4440 1.8984 0.5434 0.358
  9 3.011960e+05 3.6462 3.4425 1.8979 0.5446 0.358
 10 3.373130e+05 3.6551 3.4414 1.8972 0.5459 0.358
 11 3.730500e+05 3.6640 3.4399 1.8964 0.5472 0.358
 12 4.083990e+05 3.6729 3.4384 1.8953 0.5486 0.358
 13 4.433510e+05 3.6818 3.4369 1.8939 0.5500 0.358
 14 4.778980e+05 3.6906 3.4354 1.8922 0.5514 0.358
 15 5.120340e+05 3.6993 3.4339 1.8899 0.5529 0.358
 16 5.457510e+05 3.7080 3.4326 1.8871 0.5544 0.358
 17 5.790450e+05 3.7165 3.4311 1.8833 0.5560 0.358
 18 6.119110e+05 3.7250 3.4295 1.8785 0.5576 0.358
 19 6.443440e+05 3.7333 3.4275 1.8722 0.5592 0.358
 20 6.763430e+05 3.7416 3.4258 1.8638 0.5609 0.358
 21 7.079040e+05 3.7497 3.4239 1.8526 0.5625 0.358
 22 7.390260e+05 3.7577 3.4216 1.8370 0.5643 0.358
 23 7.697090e+05 3.7655 3.4192 1.8144 0.5660 0.358
 24 7.999540e+05 3.7733 3.4157 1.7789 0.5678 0.358
 25 8.297650e+05 3.7809 3.4103 1.7125 0.5696 0.358
 26 8.591490e+05 3.7880 3.3741 1.2631 0.5714 0.358
