#n   age/yr      logL   logTef grav    logTc  logrho Xc     Yc     Xc_C   Xc_O   Q_conv Q_disc L_H/L Q1_H Q2_H L_He/L Q1_He Q2_He L_C/L L_nu/L Q_Tmax phase
#(1) (2)         (3)    (4)    (5)     (6)    (7)    (8)    (9)    (10)   (11)   (12)   (13)   (14) (15)  (16) (17)   (18)  (19)  (20)  (21)   (22)   (23) 
  1 0.000000e+00 1.7397 3.6984 2.4793  8.0698 4.3068 0.0000 0.9605 0.0355 0.0003 0.000 0.441  0.688 0.470 0.479 0.319 0.000 0.054 0.000 0.000 0.000 bcheb
  2 5.162175e+06 1.7654 3.6958 2.4432  8.0734 4.2958 0.0000 0.9011 0.0922 0.0027 0.147 0.450  0.676 0.431 0.457 0.328 0.000 0.055 0.000 0.000 0.000 tmincheb
  3 6.771980e+07 1.7758 3.7002 2.4504  8.1261 4.2075 0.0000 0.2912 0.5017 0.2022 0.186 0.486  0.367 0.449 0.495 0.636 0.000 0.084 0.000 0.001 0.000 tmaxcheb
  4 9.149381e+07 1.8134 3.6969 2.3996  8.1671 4.2633 0.0000 0.0947 0.4601 0.4402 0.182 0.493  0.279 0.455 0.498 0.726 0.000 0.093 0.000 0.002 0.000 
  5 9.892200e+07 1.8497 3.6929 2.3473  8.1939 4.3319 0.0000 0.0383 0.3872 0.5694 0.187 0.495  0.298 0.457 0.494 0.697 0.000 0.100 0.000 0.003 0.000 
  6 1.009812e+08 1.8877 3.6889 2.2933  8.2157 4.4030 0.0000 0.0160 0.3481 0.6308 0.187 0.495  0.354 0.458 0.490 0.633 0.000 0.113 0.000 0.004 0.000 
  7 1.019693e+08 1.9242 3.6853 2.2424  8.2329 4.4634 0.0000 0.0073 0.3266 0.6609 0.187 0.495  0.411 0.458 0.487 0.563 0.000 0.108 0.000 0.005 0.000 
  8 1.024792e+08 1.9613 3.6824 2.1937  8.2482 4.5202 0.0000 0.0033 0.3154 0.6761 0.176 0.495  0.468 0.459 0.484 0.480 0.000 0.109 0.000 0.006 0.000 
  9 1.027208e+08 2.0026 3.6785 2.1368  8.2643 4.5865 0.0000 0.0012 0.3092 0.6844 0.142 0.495  0.529 0.459 0.482 0.343 0.000 0.110 0.000 0.007 0.000 
 10 1.028376e+08 2.0368 3.6748 2.0878  8.2764 4.6459 0.0000 0.0004 0.3069 0.6875 0.111 0.495  0.572 0.459 0.480 0.205 0.187 0.217 0.000 0.008 0.000 
 11 1.029086e+08 2.0782 3.6710 2.0312  8.2870 4.7213 0.0000 0.0001 0.3058 0.6889 0.039 0.495  0.612 0.459 0.478 0.044 0.187 0.249 0.000 0.009 0.000 
 12 1.029576e+08 2.1168 3.6677 1.9794  8.2851 4.7923 0.0000 0.0000 0.3056 0.6891 0.000 0.495  0.632 0.459 0.477 0.017 0.015 0.259 0.000 0.009 0.000 
 13 1.030024e+08 2.1513 3.6646 1.9325  8.2873 4.8450 0.0000 0.0000 0.3056 0.6891 0.000 0.495  0.647 0.459 0.476 0.024 0.028 0.262 0.000 0.009 0.000 
 14 1.030464e+08 2.1929 3.6613 1.8777  8.2917 4.8991 0.0000 0.0000 0.3056 0.6891 0.000 0.495  0.665 0.460 0.475 0.038 0.040 0.271 0.000 0.010 0.000 
 15 1.030917e+08 2.2285 3.6587 1.8317  8.2958 4.9413 0.0000 0.0000 0.3056 0.6891 0.000 0.495  0.683 0.460 0.475 0.062 0.049 0.278 0.000 0.010 0.000 
 16 1.031469e+08 2.2694 3.6557 1.7788  8.2988 4.9881 0.0000 0.0000 0.3056 0.6891 0.000 0.495  0.699 0.460 0.474 0.125 0.063 0.287 0.000 0.010 0.000 
 17 1.031978e+08 2.2867 3.6543 1.7559  8.2962 5.0153 0.0000 0.0000 0.3056 0.6891 0.000 0.495  0.697 0.460 0.474 0.234 0.070 0.287 0.000 0.009 0.000 lmaxeagb
 18 1.032984e+08 2.2592 3.6568 1.7934  8.2797 5.0381 0.0000 0.0000 0.3056 0.6891 0.000 0.495  0.644 0.461 0.475 0.394 0.084 0.287 0.000 0.008 0.000 
 19 1.034427e+08 2.2089 3.6603 1.8577  8.2613 5.0797 0.0000 0.0000 0.3056 0.6891 0.000 0.495  0.536 0.461 0.476 0.454 0.095 0.293 0.000 0.008 0.000 
