#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.1750 3.5744 1.0000 0.5198 0.396
  2 1.781440e+05 3.2204 3.5701 1.0000 0.5216 0.396
  3 3.837980e+05 3.2748 3.5649 1.0000 0.5240 0.396
  4 6.163470e+05 3.3372 3.5589 1.0000 0.5273 0.396
  5 8.686670e+05 3.4045 3.5522 1.0000 0.5317 0.396
  6 1.128220e+06 3.4719 3.5454 0.9997 0.5372 0.396
  7 1.382870e+06 3.5356 3.5386 0.9983 0.5435 0.396
  8 1.625170e+06 3.5935 3.5326 0.9927 0.5507 0.396
  9 1.851920e+06 3.6452 3.5261 0.9712 0.5585 0.396
 10 2.062290e+06 3.6899 3.5162 0.8229 0.5668 0.396
