#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.7489 3.5726 2.5000 0.6131 0.326
  2 6.850910e+04 3.7746 3.5701 2.5000 0.6158 0.326
  3 1.534900e+05 3.8068 3.5671 2.5000 0.6199 0.326
  4 2.507990e+05 3.8417 3.5638 2.5000 0.6254 0.326
  5 3.514550e+05 3.8744 3.5607 2.5000 0.6319 0.326
  6 4.487900e+05 3.9027 3.5579 2.5000 0.6389 0.326
  7 5.404210e+05 3.9268 3.5557 2.5000 0.6460 0.326
  8 6.260070e+05 3.9474 3.5538 2.5000 0.6532 0.677
  9 7.058170e+05 3.9586 3.5489 2.4999 0.6567 1.145
 10 7.897910e+05 3.9671 3.5147 2.4995 0.6594 1.684
 11 8.793650e+05 3.9739 3.4941 2.4985 0.6616 2.261
 12 9.714920e+05 3.9790 3.4840 2.4969 0.6633 2.833
 13 1.064260e+06 3.9829 3.4774 2.4948 0.6647 3.381
 14 1.156740e+06 3.9860 3.4725 2.4921 0.6660 3.896
 15 1.248500e+06 3.9887 3.4682 2.4888 0.6672 4.377
 16 1.339370e+06 3.9912 3.4648 2.4849 0.6683 4.825
 17 1.429280e+06 3.9935 3.4618 2.4805 0.6695 5.245
 18 1.518180e+06 3.9957 3.4593 2.4755 0.6706 5.636
 19 1.606060e+06 3.9978 3.4569 2.4699 0.6718 6.003
 20 1.692910e+06 3.9999 3.4549 2.4637 0.6730 6.348
 21 1.778730e+06 4.0020 3.4528 2.4570 0.6741 6.671
 22 1.863500e+06 4.0041 3.4509 2.4498 0.6753 6.977
 23 1.947240e+06 4.0062 3.4488 2.4420 0.6765 7.264
 24 2.029920e+06 4.0084 3.4473 2.4337 0.6777 7.537
 25 2.111540e+06 4.0104 3.4457 2.4250 0.6789 7.793
 26 2.192150e+06 4.0126 3.4441 2.4158 0.6802 8.036
 27 2.271700e+06 4.0147 3.4425 2.4061 0.6814 8.268
 28 2.350170e+06 4.0170 3.4407 2.3960 0.6827 8.487
 29 2.427570e+06 4.0192 3.4396 2.3855 0.6840 8.696
 30 2.503880e+06 4.0215 3.4378 2.3745 0.6854 8.896
 31 2.579090e+06 4.0238 3.4366 2.3632 0.6867 9.086
 32 2.653210e+06 4.0261 3.4353 2.3514 0.6881 9.268
 33 2.726210e+06 4.0285 3.4340 2.3394 0.6895 9.443
 34 2.798110e+06 4.0310 3.4326 2.3269 0.6909 9.610
 35 2.868870e+06 4.0334 3.4312 2.3142 0.6924 9.769
 36 2.938510e+06 4.0359 3.4298 2.3011 0.6939 9.923
 37 3.007010e+06 4.0385 3.4284 2.2877 0.6954 10.070
 38 3.074360e+06 4.0411 3.4269 2.2740 0.6969 10.211
 39 3.140570e+06 4.0438 3.4252 2.2600 0.6985 10.347
 40 3.205620e+06 4.0465 3.4242 2.2458 0.7001 10.477
 41 3.269510e+06 4.0492 3.4225 2.2313 0.7018 10.603
 42 3.332230e+06 4.0520 3.4214 2.2167 0.7034 10.724
 43 3.393790e+06 4.0548 3.4199 2.2018 0.7052 10.841
 44 3.454170e+06 4.0577 3.4184 2.1867 0.7069 10.953
 45 3.513380e+06 4.0607 3.4171 2.1715 0.7087 11.062
 46 3.571420e+06 4.0637 3.4157 2.1561 0.7105 11.166
 47 3.628280e+06 4.0667 3.4143 2.1405 0.7123 11.268
 48 3.683970e+06 4.0698 3.4128 2.1224 0.7142 11.365
 49 3.738490e+06 4.0730 3.4096 2.0797 0.7162 11.460
 50 3.791850e+06 4.0764 3.3801 1.6138 0.7182 11.550
 51 3.815220e+06 4.0537 3.3716 0.7166 0.7166 11.550
