#n   age/yr      logL   logTef grav    logTc  logrho Xc     Yc     Xc_C   Xc_O   Q_conv Q_disc L_H/L Q1_H Q2_H L_He/L Q1_He Q2_He L_C/L L_nu/L Q_Tmax phase
#(1) (2)         (3)    (4)    (5)     (6)    (7)    (8)    (9)    (10)   (11)   (12)   (13)   (14) (15)  (16) (17)   (18)  (19)  (20)  (21)   (22)   (23) 
  1 2.197565e-04 2.4848 4.2456 4.4837  7.4509 1.5620 0.7350 0.2609 0.0000 0.0018 0.325 0.326  1.009 0.000 0.486 0.000 0.000 0.000 0.000 0.000 0.000 bms
  2 9.378463e+06 2.4950 4.2359 4.4347  7.4399 1.5208 0.7120 0.2840 0.0000 0.0008 0.322 0.326  1.002 0.000 0.406 0.000 0.000 0.000 0.000 0.000 0.000 
  3 2.947747e+07 2.5256 4.2308 4.3837  7.4407 1.5067 0.6637 0.3324 0.0000 0.0003 0.302 0.383  1.002 0.309 0.368 0.000 0.000 0.000 0.000 0.000 0.000 
  4 4.929819e+07 2.5651 4.2260 4.3250  7.4467 1.5023 0.5982 0.3979 0.0000 0.0001 0.287 0.447  1.001 0.294 0.334 0.000 0.000 0.000 0.000 0.000 0.000 
  5 6.766014e+07 2.5984 4.2212 4.2725  7.4532 1.5015 0.5359 0.4602 0.0000 0.0001 0.272 0.478  1.002 0.275 0.307 0.000 0.000 0.000 0.000 0.000 0.000 
  6 8.162739e+07 2.6331 4.2155 4.2150  7.4600 1.5043 0.4770 0.5191 0.0000 0.0001 0.251 0.500  1.002 0.253 0.270 0.000 0.000 0.000 0.000 0.000 0.000 
  7 9.334479e+07 2.6638 4.2089 4.1579  7.4664 1.5078 0.4221 0.5740 0.0000 0.0001 0.236 0.500  1.002 0.242 0.243 0.000 0.000 0.000 0.000 0.000 0.000 
  8 1.031799e+08 2.6922 4.2013 4.0991  7.4732 1.5136 0.3678 0.6284 0.0000 0.0001 0.223 0.507  1.002 0.000 0.214 0.000 0.000 0.000 0.000 0.000 0.000 
  9 1.113763e+08 2.7187 4.1928 4.0386  7.4803 1.5221 0.3155 0.6806 0.0000 0.0001 0.209 0.507  1.002 0.000 0.202 0.000 0.000 0.000 0.000 0.000 0.000 
 10 1.181476e+08 2.7404 4.1845 3.9837  7.4868 1.5321 0.2708 0.7253 0.0000 0.0001 0.196 0.514  1.002 0.000 0.190 0.000 0.000 0.000 0.000 0.000 0.000 
 11 1.238463e+08 2.7611 4.1752 3.9258  7.4941 1.5451 0.2255 0.7706 0.0000 0.0001 0.184 0.514  1.002 0.000 0.178 0.000 0.000 0.000 0.000 0.000 0.000 
 12 1.286277e+08 2.7788 4.1660 3.8713  7.5014 1.5604 0.1850 0.8111 0.0000 0.0001 0.172 0.514  1.002 0.000 0.168 0.000 0.000 0.000 0.000 0.000 0.000 
 13 1.327481e+08 2.7944 4.1568 3.8189  7.5093 1.5786 0.1472 0.8489 0.0000 0.0001 0.162 0.514  1.002 0.000 0.159 0.000 0.000 0.000 0.000 0.000 0.000 
 14 1.363288e+08 2.8099 4.1470 3.7642  7.5190 1.6029 0.1087 0.8875 0.0000 0.0001 0.151 0.514  1.002 0.000 0.149 0.000 0.000 0.000 0.000 0.000 0.000 
 15 1.397972e+08 2.8256 4.1376 3.7109  7.5325 1.6395 0.0690 0.9272 0.0000 0.0001 0.141 0.514  1.002 0.000 0.140 0.000 0.000 0.000 0.000 0.000 0.000 
