#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.2831 3.5749 1.2000 0.5353 0.362
  2 1.523900e+05 3.3343 3.5700 1.2000 0.5376 0.362
  3 3.339350e+05 3.3966 3.5640 1.2000 0.5408 0.362
  4 5.415560e+05 3.4666 3.5571 1.2000 0.5453 0.430
  5 7.628980e+05 3.5361 3.5491 1.2000 0.5508 0.596
  6 9.837290e+05 3.5998 3.5409 1.1998 0.5571 0.854
  7 1.195720e+06 3.6556 3.5325 1.1982 0.5640 1.159
  8 1.395320e+06 3.7036 3.4876 1.1963 0.5714 1.484
  9 1.581450e+06 3.7446 3.4625 1.1926 0.5791 1.812
 10 1.754200e+06 3.7797 3.4465 1.1874 0.5870 2.131
 11 1.914110e+06 3.8101 3.4343 1.1808 0.5950 2.432
 12 2.059500e+06 3.8355 3.4199 0.6029 0.6029 2.432
