 
   Teff    log g   log L/Lo     Age(Gyr)      Y       F220W   F250W   F330W   F344N   F435W   F475W   F502N   F550M   F555W   F606W   F625W   F658N   F660N   F775W   F814W  F850LP   F892N   BC(V)    M_U     M_B     M_V     M_R      M_I    M_J     M_H     M_K      M_L
   60877.  8.36400  0.110316   0.115515900 0.10E+01   6.307   6.874   7.555   7.646   9.273   9.416   9.553   9.646   9.579   9.614   9.730   9.697   9.774   9.906   9.938  10.106  10.130  -5.136   8.065   9.309   9.626   9.775   9.972  10.397  10.525  10.698  10.801
   58124.  8.36892  0.024999   0.115638100 0.10E+01   6.374   6.938   7.617   7.707   9.330   9.472   9.607   9.700   9.633   9.668   9.783   9.753   9.829   9.958   9.990  10.158  10.182  -4.976   8.126   9.366   9.680   9.828  10.023  10.448  10.575  10.748  10.851
   18291.  8.44208 -2.056639   0.362436200 0.10E+01   9.496   9.864  10.297  10.356  11.565  11.590  11.615  11.615  11.621  11.624  11.679  11.806  11.847  11.753  11.778  11.918  11.946  -1.715  10.738  11.590  11.623  11.709  11.803  12.065  12.121  12.242  12.303
   17099.  8.44412 -2.175781   0.418158500 0.10E+01   9.745  10.091  10.497  10.552  11.715  11.728  11.744  11.732  11.746  11.745  11.794  11.932  11.973  11.857  11.882  12.019  12.047  -1.537  10.929  11.739  11.743  11.823  11.906  12.150  12.201  12.317  12.372
   15975.  8.44600 -2.295709   0.484150200 0.10E+01  10.004  10.325  10.699  10.751  11.870  11.870  11.876  11.851  11.872  11.868  11.910  12.058  12.099  11.961  11.984  12.117  12.146  -1.359  11.123  11.892  11.865  11.937  12.007  12.234  12.277  12.388  12.440
   14916.  8.44774 -2.416666   0.562602600 0.10E+01  10.276  10.560  10.893  10.940  12.023  12.013  12.010  11.970  11.998  11.988  12.023  12.179  12.218  12.058  12.081  12.209  12.238  -1.180  11.307  12.045  11.987  12.048  12.103  12.312  12.347  12.453  12.503
   13912.  8.44938 -2.539337   0.656290200 0.10E+01  10.559  10.781  11.065  11.107  12.166  12.147  12.134  12.083  12.116  12.100  12.126  12.291  12.325  12.144  12.165  12.289  12.318  -0.988  11.469  12.186  12.103  12.148  12.186  12.379  12.407  12.510  12.559
   12802.  8.45121 -2.685579   0.789756900 0.10E+01  10.890  11.024  11.252  11.290  12.323  12.295  12.272  12.211  12.249  12.225  12.241  12.416  12.443  12.240  12.259  12.378  12.405  -0.753  11.646  12.342  12.234  12.260  12.279  12.454  12.471  12.572  12.620
   11756.  8.45305 -2.835499   0.956801700 0.10E+01  11.320  11.365  11.521  11.552  12.551  12.513  12.477  12.404  12.447  12.410  12.413  12.581  12.603  12.383  12.399  12.504  12.529  -0.574  11.900  12.567  12.429  12.428  12.417  12.561  12.561  12.657  12.701
   10653.  8.45501 -3.008702   1.206028900 0.10E+01  11.864  11.806  11.873  11.895  12.864  12.813  12.765  12.680  12.725  12.671  12.656  12.796  12.808  12.590  12.597  12.677  12.697  -0.420  12.231  12.876  12.707  12.667  12.615  12.710  12.681  12.770  12.811
    9613.  8.45682 -3.188860   1.717895300 0.10E+01  12.500  12.317  12.276  12.287  13.247  13.185  13.126  13.028  13.073  12.997  12.962  13.037  13.036  12.853  12.849  12.889  12.908  -0.319  12.609  13.255  13.057  12.968  12.867  12.890  12.821  12.906  12.943
    8555.  8.45879 -3.393456   2.486099800 0.10E+01  13.322  12.962  12.779  12.777  13.718  13.641  13.572  13.449  13.497  13.394  13.335  13.313  13.317  13.179  13.162  13.160  13.187  -0.232  13.080  13.720  13.482  13.336  13.181  13.107  12.989  13.064  13.091
    7512.  8.46079 -3.621266   3.696699700 0.10E+01  14.490  13.820  13.436  13.416  14.282  14.175  14.090  13.928  13.985  13.850  13.763  13.642  13.672  13.548  13.520  13.480  13.512  -0.147  13.691  14.276  13.967  13.755  13.537  13.354  13.181  13.233  13.239
    6505.  8.46294 -3.873357   5.347252700 0.10E+01  16.284  15.085  14.365  14.320  15.001  14.836  14.717  14.495  14.573  14.394  14.266  14.065  14.129  13.973  13.931  13.851  13.885  -0.094  14.546  14.982  14.544  14.247  13.946  13.646  13.417  13.429  13.393
    5992.  8.46439 -4.017521   6.366120100 0.10E+01  17.569  16.021  15.012  14.946  15.472  15.263  15.117  14.854  14.948  14.738  14.584  14.350  14.428  14.238  14.187  14.083  14.117  -0.100  15.132  15.443  14.910  14.556  14.200  13.831  13.571  13.556  13.490
    5473.  8.46639 -4.177103   7.901351500 0.10E+01  19.145  17.292  15.872  15.772  16.043  15.775  15.596  15.284  15.398  15.151  14.968  14.705  14.792  14.557  14.496  14.361  14.397  -0.140  15.884  16.002  15.349  14.929  14.507  14.054  13.756  13.714  13.614
    4965.  8.46845 -4.348264  10.312614900 0.10E+01  21.365  19.138  17.133  17.000  16.734  16.374  16.146  15.781  15.915  15.626  15.412  15.125  15.216  14.930  14.857  14.687  14.725  -0.217  16.934  16.674  15.854  15.361  14.866  14.312  13.993  13.963  13.797
    4702.  8.46924 -4.443502  11.449300800 0.10E+01  22.594  20.210  17.931  17.794  17.148  16.719  16.455  16.056  16.204  15.888  15.656  15.357  15.450  15.134  15.054  14.865  14.904  -0.259  17.604  17.074  16.134  15.598  15.063  14.460  14.191  14.202  13.964
    4448.  8.46985 -4.540757  12.430397500 0.10E+01  23.663  21.197  18.705  18.571  17.563  17.055  16.752  16.318  16.479  16.137  15.888  15.578  15.670  15.329  15.242  15.036  15.076  -0.283  18.271  17.472  16.401  15.822  15.250  14.623  14.480  14.525  14.195
    4179.  8.47032 -4.649408  13.297476800 0.10E+01  24.365  22.132  19.488  19.357  18.013  17.416  17.070  16.594  16.771  16.399  16.130  15.809  15.901  15.535  15.442  15.223  15.260  -0.293  18.962  17.900  16.683  16.058  15.450  14.856  14.896  15.007  14.508
    3925.  8.47065 -4.758771  14.001980300 0.10E+01  24.850  22.932  20.155  20.030  18.400  17.729  17.352  16.835  17.027  16.627  16.341  16.010  16.103  15.722  15.627  15.405  15.434  -0.267  19.539  18.268  16.930  16.264  15.634  15.160  15.360  15.555  14.835
    3663.  8.47092 -4.878986  14.644677600 0.10E+01  25.235  23.646  20.777  20.663  18.763  18.029  17.628  17.072  17.278  16.851  16.550  16.210  16.302  15.929  15.834  15.624  15.635  -0.208  20.073  18.613  17.172  16.473  15.841  15.566  15.881  16.153  15.168
    3403.  8.47113 -5.007025  15.222860700 0.10E+01  25.575  24.271  21.348  21.246  19.094  18.307  17.889  17.300  17.517  17.070  16.755  16.408  16.499  16.174  16.084  15.900  15.886  -0.120  20.563  18.929  17.404  16.687  16.092  16.047  16.427  16.759  15.493
    3128.  8.47132 -5.153887  15.783173200 0.10E+01  25.929  24.843  21.884  21.792  19.421  18.589  18.158  17.541  17.766  17.306  16.982  16.626  16.718  16.507  16.427  16.273  16.231   0.003  21.029  19.242  17.648  16.934  16.443  16.618  17.031  17.427  15.827
    2854.  8.47146 -5.313375  16.267095000 0.10E+01  26.296  25.393  22.390  22.318  19.717  18.856  18.420  17.778  18.012  17.551  17.220  16.858  16.951  16.940  16.871  16.739  16.669   0.161  21.450  19.528  17.888  17.208  16.904  17.259  17.626  18.150  16.150
    2595.  8.47157 -5.478562  16.683588100 0.10E+01  26.678  25.848  22.796  22.728  20.017  19.130  18.689  18.026  18.265  17.816  17.482  17.116  17.209  17.483  17.422  17.295  17.195   0.323  21.822  19.820  18.139  17.512  17.483  17.950  18.199  18.848  16.460
    2521.  8.47160 -5.528806  16.796201200 0.10E+01  26.795  25.945  22.912  22.845  20.109  19.215  18.772  18.103  18.345  17.902  17.568  17.201  17.296  17.671  17.611  17.481  17.371   0.370  21.934  19.910  18.218  17.611  17.682  18.175  18.393  19.032  16.561
