
    Teff    log g   log L/Lo     Age(Gyr)      Y       F220W   F250W   F330W   F344N   F435W   F475W   F502N   F550M   F555W   F606W   F625W   F658N   F660N   F775W   F814W  F850LP   F892N   BC(V)    M_U     M_B     M_V     M_R      M_I    M_J     M_H     M_K      M_L
   19104.  7.79976 -1.562120  11.189272400 0.10E+01   8.343   8.717   9.160   9.220  10.414  10.451  10.492  10.515  10.507  10.512  10.574  10.672  10.709  10.659  10.685  10.827  10.867  -1.845   9.598  10.437  10.517  10.606  10.711  10.976  11.037  11.160  11.222
   17919.  7.80687 -1.680505  11.208696200 0.10E+01   8.590   8.944   9.361   9.418  10.564  10.591  10.624  10.639  10.636  10.639  10.695  10.803  10.840  10.771  10.797  10.935  10.978  -1.675   9.791  10.587  10.642  10.726  10.822  11.071  11.126  11.244  11.301
   16864.  7.81323 -1.792293  11.231367400 0.10E+01   8.831   9.164   9.555   9.609  10.709  10.726  10.749  10.755  10.759  10.759  10.810  10.928  10.965  10.877  10.902  11.037  11.082  -1.515   9.977  10.730  10.762  10.840  10.926  11.159  11.209  11.322  11.375
   15747.  7.82001 -1.918151  11.263166300 0.10E+01   9.110   9.419   9.780   9.830  10.875  10.880  10.893  10.887  10.899  10.895  10.940  11.071  11.108  10.996  11.020  11.151  11.198  -1.335  10.191  10.895  10.897  10.968  11.043  11.258  11.300  11.409  11.457
   14734.  7.82608 -2.039719  11.300757900 0.10E+01   9.388   9.671  10.000  10.046  11.040  11.032  11.035  11.016  11.035  11.027  11.066  11.209  11.246  11.110  11.133  11.260  11.308  -1.163  10.401  11.059  11.028  11.092  11.155  11.351  11.386  11.489  11.533
   13618.  7.83263 -2.183018  11.353612300 0.10E+01   9.729   9.972  10.255  10.296  11.239  11.217  11.207  11.170  11.199  11.185  11.214  11.370  11.404  11.240  11.262  11.384  11.431  -0.963  10.644  11.257  11.187  11.238  11.283  11.455  11.481  11.579  11.619
   12546.  7.83874 -2.331567  11.418321900 0.10E+01  10.088  10.247  10.473  10.510  11.425  11.391  11.369  11.317  11.353  11.330  11.348  11.517  11.545  11.352  11.373  11.490  11.537  -0.743  10.852  11.441  11.338  11.368  11.392  11.545  11.562  11.657  11.697
   11534.  7.84463 -2.483639  11.497919800 0.10E+01  10.489  10.545  10.705  10.736  11.632  11.588  11.553  11.489  11.530  11.495  11.499  11.669  11.689  11.477  11.495  11.602  11.646  -0.538  11.070  11.645  11.513  11.516  11.513  11.641  11.643  11.735  11.775
   10450.  7.85119 -2.661598  11.613301100 0.10E+01  11.057  10.998  11.061  11.082  11.957  11.902  11.853  11.773  11.817  11.763  11.749  11.887  11.897  11.686  11.696  11.778  11.812  -0.379  11.405  11.967  11.799  11.761  11.712  11.792  11.765  11.851  11.887
    9424.  7.85719 -2.847124  11.765122800 0.10E+01  11.716  11.524  11.471  11.480  12.361  12.294  12.234  12.135  12.181  12.104  12.067  12.138  12.136  11.957  11.954  11.996  12.020  -0.281  11.791  12.367  12.165  12.073  11.971  11.979  11.910  11.990  12.024
