#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.4626 3.6124 1.5000 0.5623 0.299
  2 1.335370e+05 3.5098 3.6079 1.5000 0.5652 0.735
  3 3.234470e+05 3.5690 3.5977 1.5000 0.5683 2.009
  4 5.531940e+05 3.6328 3.5653 1.4995 0.5721 4.291
  5 8.021590e+05 3.6899 3.5318 1.4939 0.5760 6.941
  6 1.054860e+06 3.7333 3.5036 1.4675 0.5795 9.195
  7 1.304980e+06 3.7635 3.4792 1.4025 0.5824 10.857
  8 1.549930e+06 3.7853 3.4555 1.2898 0.5853 12.074
  9 1.786050e+06 3.8023 3.4302 1.1265 0.5888 12.991
 10 1.998520e+06 3.8151 3.4094 0.5926 0.5926 12.991
