#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.3602 3.4725 1.2000 0.5140 0.400
  2 6.851230e+04 3.3711 3.4708 1.1998 0.5147 0.400
  3 1.375620e+05 3.3829 3.4693 1.1996 0.5155 0.400
  4 2.071710e+05 3.3951 3.4675 1.1992 0.5164 0.400
  5 2.773580e+05 3.4079 3.4655 1.1987 0.5174 0.400
  6 3.481410e+05 3.4212 3.4638 1.1981 0.5184 0.400
  7 4.195290e+05 3.4349 3.4617 1.1970 0.5195 0.400
  8 4.915290e+05 3.4490 3.4595 1.1955 0.5207 0.400
  9 5.641420e+05 3.4636 3.4572 1.1932 0.5220 0.400
 10 6.373590e+05 3.4785 3.4547 1.1896 0.5234 0.400
 11 7.111660e+05 3.4938 3.4520 1.1839 0.5249 0.400
 12 7.855370e+05 3.5093 3.4488 1.1742 0.5265 0.400
 13 8.604380e+05 3.5252 3.4452 1.1561 0.5282 0.400
 14 9.358290e+05 3.5413 3.4393 1.1113 0.5300 0.400
