#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 4.0617 3.4837 4.0000 0.7218 0.351
  2 1.194700e+04 4.0689 3.4829 4.0000 0.7230 0.352
  3 2.447470e+04 4.0755 3.4821 3.9999 0.7238 0.353
  4 3.770440e+04 4.0819 3.4810 3.9998 0.7246 0.354
  5 5.171710e+04 4.0880 3.4803 3.9997 0.7254 0.356
  6 6.652050e+04 4.0938 3.4796 3.9996 0.7260 0.359
  7 8.207690e+04 4.0992 3.4790 3.9995 0.7266 0.363
  8 9.832120e+04 4.1041 3.4781 3.9993 0.7272 0.367
  9 1.151760e+05 4.1086 3.4775 3.9991 0.7276 0.372
 10 1.325590e+05 4.1125 3.4770 3.9989 0.7280 0.378
 11 1.503940e+05 4.1159 3.4765 3.9987 0.7284 0.384
 12 1.686070e+05 4.1188 3.4761 3.9984 0.7287 0.391
 13 1.871350e+05 4.1214 3.4758 3.9981 0.7289 0.398
 14 2.059230e+05 4.1238 3.4754 3.9978 0.7291 0.406
 15 2.249240e+05 4.1259 3.4751 3.9974 0.7293 0.414
 16 2.440990e+05 4.1278 3.4748 3.9971 0.7294 0.423
 17 2.634150e+05 4.1295 3.4745 3.9967 0.7296 0.431
 18 2.828460e+05 4.1312 3.4742 3.9963 0.7297 0.440
 19 3.023700e+05 4.1328 3.4739 3.9959 0.7298 0.449
 20 3.219700e+05 4.1344 3.4737 3.9954 0.7298 0.459
 21 3.416310e+05 4.1359 3.4734 3.9950 0.7299 0.468
 22 3.613430e+05 4.1375 3.4731 3.9945 0.7300 0.477
 23 3.810970e+05 4.1391 3.4732 3.9940 0.7300 0.487
 24 4.008840e+05 4.1408 3.4729 3.9934 0.7301 0.497
 25 4.207000e+05 4.1425 3.4726 3.9929 0.7301 0.506
 26 4.405390e+05 4.1442 3.4723 3.9923 0.7301 0.516
 27 4.603990e+05 4.1461 3.4720 3.9917 0.7302 0.526
 28 4.802750e+05 4.1480 3.4717 3.9910 0.7302 0.536
 29 5.001670e+05 4.1500 3.4713 3.9904 0.7302 0.546
 30 5.200710e+05 4.1521 3.4710 3.9896 0.7303 0.556
 31 5.399870e+05 4.1543 3.4706 3.9889 0.7303 0.566
 32 5.599140e+05 4.1565 3.4702 3.9881 0.7303 0.576
 33 5.798490e+05 4.1589 3.4698 3.9872 0.7303 0.586
 34 5.997940e+05 4.1613 3.4694 3.9863 0.7304 0.596
 35 6.197470e+05 4.1639 3.4694 3.9853 0.7304 0.606
 36 6.397080e+05 4.1665 3.4690 3.9842 0.7304 0.617
 37 6.596760e+05 4.1692 3.4685 3.9831 0.7304 0.627
 38 6.796520e+05 4.1720 3.4681 3.9819 0.7305 0.637
 39 6.996340e+05 4.1749 3.4676 3.9805 0.7305 0.647
 40 7.196240e+05 4.1779 3.4672 3.9791 0.7305 0.658
 41 7.396200e+05 4.1810 3.4667 3.9775 0.7306 0.668
 42 7.596230e+05 4.1841 3.4662 3.9758 0.7306 0.679
 43 7.796330e+05 4.1874 3.4656 3.9740 0.7306 0.689
 44 7.996500e+05 4.1907 3.4655 3.9719 0.7306 0.700
 45 8.196730e+05 4.1940 3.4650 3.9697 0.7307 0.710
 46 8.397030e+05 4.1975 3.4644 3.9673 0.7307 0.721
 47 8.597390e+05 4.2010 3.4639 3.9646 0.7307 0.732
 48 8.797830e+05 4.2045 3.4633 3.9616 0.7307 0.742
 49 8.998330e+05 4.2081 3.4627 3.9583 0.7308 0.753
 50 9.198910e+05 4.2118 3.4622 3.9547 0.7308 0.764
 51 9.399550e+05 4.2155 3.4619 3.9506 0.7308 0.775
 52 9.600270e+05 4.2193 3.4612 3.9461 0.7309 0.785
 53 9.801060e+05 4.2231 3.4606 3.9410 0.7309 0.796
 54 1.000190e+06 4.2268 3.4599 3.9354 0.7309 0.807
 55 1.020290e+06 4.2307 3.4596 3.9290 0.7310 0.819
 56 1.040390e+06 4.2345 3.4590 3.9219 0.7310 0.830
 57 1.060500e+06 4.2383 3.4583 3.9138 0.7310 0.841
 58 1.080610e+06 4.2420 3.4576 3.9047 0.7311 0.852
 59 1.100740e+06 4.2457 3.4572 3.8944 0.7311 0.863
 60 1.120870e+06 4.2494 3.4564 3.8826 0.7312 0.875
 61 1.141010e+06 4.2529 3.4559 3.8693 0.7312 0.886
 62 1.161160e+06 4.2564 3.4552 3.8539 0.7313 0.898
 63 1.181310e+06 4.2597 3.4547 3.8364 0.7313 0.909
 64 1.201470e+06 4.2627 3.4539 3.8160 0.7314 0.921
 65 1.221640e+06 4.2656 3.4533 3.7925 0.7314 0.933
 66 1.241810e+06 4.2680 3.4523 3.7648 0.7315 0.945
 67 1.261980e+06 4.2701 3.4516 3.7323 0.7316 0.958
 68 1.282160e+06 4.2736 3.4512 3.7187 0.7317 0.970
 69 1.302310e+06 4.2770 3.4506 3.7031 0.7318 0.982
 70 1.322470e+06 4.2801 3.4498 3.6850 0.7319 0.995
 71 1.342640e+06 4.2829 3.4486 3.6634 0.7320 1.008
 72 1.362820e+06 4.2806 3.4035 3.5837 0.7321 1.021
 73 1.383030e+06 4.2755 3.3888 3.4756 0.7323 1.035
 74 1.403180e+06 4.2681 3.3808 3.3412 0.7325 1.049
 75 1.423190e+06 4.2575 3.3738 3.1727 0.7328 1.063
 76 1.442980e+06 4.2373 3.3645 2.8881 0.7333 1.078
 77 1.462420e+06 4.2039 3.3491 2.4092 0.7341 1.091
