#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.6924 3.5529 2.2000 0.5994 0.337
  2 6.998700e+04 3.7255 3.5496 2.2000 0.6024 0.352
  3 1.543670e+05 3.7624 3.5456 2.2000 0.6057 0.397
  4 2.501980e+05 3.8000 3.5411 2.1999 0.6097 0.496
  5 3.535630e+05 3.8346 3.5363 2.1996 0.6140 0.661
  6 4.601650e+05 3.8637 3.5313 2.1990 0.6185 0.887
  7 5.670000e+05 3.8871 3.5256 2.1976 0.6228 1.157
  8 6.724710e+05 3.9055 3.4780 2.1957 0.6268 1.444
  9 7.758560e+05 3.9201 3.4648 2.1927 0.6307 1.738
 10 8.768410e+05 3.9319 3.4572 2.1889 0.6344 2.032
 11 9.752870e+05 3.9418 3.4516 2.1842 0.6379 2.322
 12 1.071160e+06 3.9503 3.4468 2.1786 0.6413 2.605
 13 1.164440e+06 3.9579 3.4426 2.1721 0.6446 2.880
 14 1.255150e+06 3.9648 3.4389 2.1647 0.6479 3.144
 15 1.343330e+06 3.9712 3.4355 2.1563 0.6510 3.399
 16 1.428990e+06 3.9774 3.4325 2.1471 0.6542 3.643
 17 1.512180e+06 3.9832 3.4295 2.1370 0.6573 3.878
 18 1.592950e+06 3.9888 3.4268 2.1260 0.6603 4.100
 19 1.671380e+06 3.9944 3.4241 2.1142 0.6633 4.314
 20 1.747490e+06 3.9999 3.4216 2.1016 0.6664 4.518
 21 1.821310e+06 4.0053 3.4190 2.0856 0.6694 4.714
 22 1.892910e+06 4.0107 3.4132 2.0260 0.6725 4.901
 23 1.962340e+06 4.0164 3.3844 1.6267 0.6757 5.070
 24 1.999960e+06 4.0051 3.3773 0.6756 0.6756 5.070
