#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.4131 3.4328 1.2000 0.5237 0.388
  2 4.291570e+04 3.4231 3.4310 1.1980 0.5244 0.388
  3 8.555390e+04 3.4336 3.4289 1.1953 0.5251 0.388
  4 1.279010e+05 3.4442 3.4269 1.1915 0.5259 0.388
  5 1.699450e+05 3.4550 3.4248 1.1860 0.5267 0.388
  6 2.116710e+05 3.4660 3.4222 1.1781 0.5275 0.388
  7 2.530700e+05 3.4770 3.4193 1.1657 0.5284 0.388
  8 2.941290e+05 3.4881 3.4155 1.1436 0.5293 0.388
  9 3.348400e+05 3.4992 3.4089 1.0903 0.5303 0.388
