#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 4.0986 3.5107 3.5000 0.7543 0.348
  2 1.265640e+04 4.1083 3.5097 3.4998 0.7558 0.350
  3 2.686750e+04 4.1175 3.5086 3.4996 0.7568 0.356
  4 4.265450e+04 4.1266 3.5071 3.4992 0.7577 0.364
  5 5.997930e+04 4.1352 3.5061 3.4988 0.7585 0.376
  6 7.865030e+04 4.1432 3.5051 3.4982 0.7593 0.392
  7 9.842130e+04 4.1503 3.5041 3.4974 0.7599 0.411
  8 1.190530e+05 4.1565 3.5032 3.4964 0.7605 0.433
  9 1.403420e+05 4.1620 3.5024 3.4952 0.7609 0.459
 10 1.621280e+05 4.1669 3.5015 3.4938 0.7614 0.486
 11 1.842890e+05 4.1712 3.5007 3.4922 0.7617 0.516
 12 2.067370e+05 4.1751 3.4999 3.4904 0.7621 0.548
 13 2.294090e+05 4.1788 3.4991 3.4883 0.7624 0.581
 14 2.522580e+05 4.1823 3.4983 3.4860 0.7627 0.616
 15 2.752520e+05 4.1858 3.4979 3.4833 0.7629 0.651
 16 2.983670e+05 4.1892 3.4971 3.4804 0.7632 0.688
 17 3.215870e+05 4.1927 3.4962 3.4770 0.7635 0.726
 18 3.448980e+05 4.1962 3.4955 3.4733 0.7637 0.765
 19 3.682910e+05 4.1999 3.4948 3.4690 0.7640 0.804
 20 3.917570e+05 4.2036 3.4937 3.4641 0.7643 0.845
 21 4.152910e+05 4.2074 3.4931 3.4585 0.7645 0.886
 22 4.388800e+05 4.2114 3.4919 3.4521 0.7648 0.928
 23 4.625260e+05 4.2154 3.4907 3.4444 0.7650 0.971
 24 4.862250e+05 4.2197 3.4890 3.4410 0.7653 1.015
 25 5.099670e+05 4.2243 3.4558 3.4404 0.7656 1.059
 26 5.337530e+05 4.2289 3.4385 3.4394 0.7658 1.104
 27 5.575840e+05 4.2338 3.4323 3.4382 0.7661 1.150
 28 5.814570e+05 4.2388 3.4282 3.4369 0.7664 1.196
 29 6.053670e+05 4.2439 3.4248 3.4354 0.7667 1.243
 30 6.293120e+05 4.2462 3.4207 3.3725 0.7669 1.292
 31 6.533370e+05 4.2477 3.4159 3.2968 0.7673 1.342
 32 6.773440e+05 4.2480 3.4114 3.2043 0.7676 1.394
 33 7.013000e+05 4.2465 3.4056 3.0821 0.7680 1.448
 34 7.251650e+05 4.2425 3.3990 2.9216 0.7685 1.504
 35 7.488430e+05 4.2347 3.3895 2.6923 0.7692 1.564
 36 7.721850e+05 4.2180 3.3720 2.2740 0.7701 1.624
