#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.6491 3.4535 2.0000 0.5643 0.360
  2 3.121500e+04 3.6610 3.4517 1.9998 0.5655 0.360
  3 6.221320e+04 3.6735 3.4498 1.9995 0.5668 0.360
  4 9.297920e+04 3.6860 3.4479 1.9991 0.5682 0.360
  5 1.234980e+05 3.6987 3.4459 1.9986 0.5697 0.360
  6 1.537570e+05 3.7113 3.4436 1.9978 0.5712 0.360
  7 1.837420e+05 3.7238 3.4417 1.9967 0.5728 0.360
  8 2.134430e+05 3.7361 3.4397 1.9952 0.5745 0.360
  9 2.428490e+05 3.7482 3.4378 1.9930 0.5763 0.360
 10 2.719510e+05 3.7600 3.4358 1.9899 0.5781 0.360
 11 3.007410e+05 3.7716 3.4337 1.9856 0.5800 0.360
 12 3.292110e+05 3.7828 3.4315 1.9795 0.5820 0.360
 13 3.573560e+05 3.7938 3.4294 1.9708 0.5840 0.360
 14 3.851690e+05 3.8044 3.4268 1.9580 0.5860 0.360
 15 4.126470e+05 3.8147 3.4240 1.9389 0.5881 0.360
 16 4.397860e+05 3.8248 3.4208 1.9082 0.5903 0.360
 17 4.665870e+05 3.8345 3.4158 1.8523 0.5925 0.360
 18 4.930510e+05 3.8436 3.4032 1.6725 0.5948 0.360
