#n   age/yr      logL   logTef grav    logTc  logrho Xc     Yc     Xc_C   Xc_O   Q_conv Q_disc L_H/L Q1_H Q2_H L_He/L Q1_He Q2_He L_C/L L_nu/L Q_Tmax phase
#(1) (2)         (3)    (4)    (5)     (6)    (7)    (8)    (9)    (10)   (11)   (12)   (13)   (14) (15)  (16) (17)   (18)  (19)  (20)  (21)   (22)   (23) 
  1 0.000000e+00 4.2422 4.5694 4.4986  7.6140 1.0960 0.5973 0.4023 0.0000 0.0000 0.474 0.476  1.010 0.000 0.371 0.000 0.000 0.000 0.000 0.000 0.000 bms
  2 1.404251e+06 4.2782 4.5670 4.4530  7.6162 1.0854 0.5508 0.4488 0.0000 0.0000 0.457 0.476  1.002 0.000 0.365 0.000 0.000 0.000 0.000 0.000 0.000 
  3 2.821880e+06 4.3189 4.5654 4.4059  7.6228 1.0860 0.4967 0.5029 0.0000 0.0000 0.439 0.477  1.002 0.000 0.359 0.000 0.000 0.000 0.000 0.000 0.000 
  4 4.073495e+06 4.3549 4.5630 4.3603  7.6291 1.0881 0.4473 0.5523 0.0000 0.0000 0.424 0.480  1.002 0.000 0.352 0.000 0.000 0.000 0.000 0.000 0.000 
  5 5.167882e+06 4.3957 4.5590 4.3035  7.6368 1.0930 0.3896 0.6100 0.0000 0.0000 0.407 0.480  1.002 0.000 0.342 0.000 0.000 0.000 0.000 0.000 0.000 
  6 6.109761e+06 4.4299 4.5545 4.2513  7.6439 1.0998 0.3395 0.6601 0.0000 0.0000 0.393 0.480  1.002 0.000 0.334 0.000 0.000 0.000 0.000 0.000 0.000 
  7 6.898971e+06 4.4653 4.5484 4.1915  7.6519 1.1102 0.2869 0.7127 0.0000 0.0000 0.374 0.480  1.003 0.000 0.323 0.000 0.000 0.000 0.000 0.000 0.000 
  8 7.565610e+06 4.4967 4.5416 4.1329  7.6601 1.1235 0.2389 0.7607 0.0000 0.0000 0.357 0.480  1.003 0.000 0.313 0.000 0.000 0.000 0.000 0.000 0.000 
  9 8.135187e+06 4.5254 4.5341 4.0742  7.6689 1.1400 0.1930 0.8066 0.0000 0.0000 0.345 0.480  1.003 0.000 0.302 0.000 0.000 0.000 0.000 0.000 0.000 
 10 8.616427e+06 4.5511 4.5263 4.0173  7.6783 1.1606 0.1513 0.8483 0.0000 0.0000 0.331 0.480  1.003 0.000 0.292 0.000 0.000 0.000 0.000 0.000 0.000 
 11 9.034156e+06 4.5749 4.5182 3.9611  7.6892 1.1869 0.1117 0.8879 0.0000 0.0000 0.320 0.480  1.003 0.000 0.282 0.000 0.000 0.000 0.000 0.000 0.000 
 12 9.409121e+06 4.5991 4.5099 3.9037  7.7039 1.2261 0.0715 0.9281 0.0000 0.0000 0.305 0.480  1.003 0.000 0.271 0.000 0.000 0.000 0.000 0.000 0.000 
 13 9.742447e+06 4.6232 4.5046 3.8580  7.7288 1.2970 0.0318 0.9679 0.0000 0.0000 0.291 0.480  1.002 0.000 0.261 0.000 0.000 0.000 0.000 0.000 0.000 tminms
 14 9.927856e+06 4.6402 4.5126 3.8730  7.7678 1.4134 0.0081 0.9915 0.0000 0.0000 0.282 0.480  0.991 0.293 0.336 0.000 0.000 0.000 0.000 0.000 0.000 
 15 9.963525e+06 4.6469 4.5219 3.9035  7.7919 1.4869 0.0034 0.9962 0.0000 0.0000 0.278 0.480  0.973 0.283 0.373 0.000 0.000 0.000 0.000 0.000 0.000 
 16 9.977736e+06 4.6557 4.5333 3.9403  7.8202 1.5760 0.0012 0.9984 0.0000 0.0000 0.271 0.480  0.920 0.277 0.409 0.000 0.000 0.000 0.000 0.000 0.000 
 17 9.984445e+06 4.6652 4.5422 3.9664  7.8458 1.6601 0.0004 0.9992 0.0000 0.0000 0.256 0.480  0.823 0.000 0.442 0.000 0.000 0.000 0.000 0.000 0.000 
 18 9.987887e+06 4.6799 4.5525 3.9929  7.8860 1.8026 0.0000 0.9996 0.0000 0.0000 0.203 0.480  0.540 0.000 0.487 0.000 0.000 0.000 0.000 0.000 0.000 
 19 9.990160e+06 4.6884 4.5580 4.0064  7.9296 1.9960 0.0000 0.9996 0.0000 0.0000 0.000 0.512  0.735 0.105 0.512 0.000 0.000 0.000 0.000 0.000 0.000 tmaxlms
 20 9.993022e+06 4.6788 4.5487 3.9788  7.9610 2.1827 0.0000 0.9996 0.0000 0.0000 0.000 0.538  0.955 0.158 0.493 0.000 0.000 0.000 0.000 0.000 0.000 
 21 9.993224e+06 4.6788 4.5487 3.9788  7.9610 2.1827 0.0000 0.9996 0.0000 0.0000 0.000 0.538  0.955 0.158 0.493 0.000 0.000 0.000 0.000 0.000 0.000 lminsgb
 22 9.994865e+06 4.6816 4.5387 3.9360  7.9792 2.2838 0.0000 0.9996 0.0000 0.0000 0.000 0.538  1.021 0.174 0.480 0.000 0.000 0.000 0.000 0.000 0.000 
 23 9.996327e+06 4.6902 4.5273 3.8818  7.9978 2.3801 0.0000 0.9996 0.0000 0.0000 0.000 0.538  1.028 0.188 0.468 0.000 0.000 0.000 0.000 0.000 0.000 
 24 9.997654e+06 4.6984 4.5179 3.8360  8.0125 2.4511 0.0000 0.9996 0.0000 0.0000 0.000 0.538  1.042 0.193 0.457 0.000 0.000 0.000 0.000 0.000 0.000 
 25 9.998906e+06 4.7076 4.5068 3.7824  8.0289 2.5264 0.0000 0.9996 0.0000 0.0000 0.000 0.538  1.041 0.204 0.447 0.000 0.000 0.000 0.000 0.000 0.000 
 26 1.000011e+07 4.7145 4.4981 3.7407  8.0414 2.5815 0.0000 0.9996 0.0000 0.0000 0.000 0.538  1.038 0.209 0.438 0.000 0.000 0.000 0.000 0.000 0.000 
 27 1.000127e+07 4.7224 4.4874 3.6900  8.0566 2.6474 0.0000 0.9996 0.0000 0.0000 0.000 0.582  1.021 0.217 0.427 0.000 0.000 0.000 0.000 0.000 0.000 
 28 1.000242e+07 4.7298 4.4768 3.6402  8.0721 2.7098 0.0000 0.9996 0.0000 0.0000 0.000 0.582  1.026 0.226 0.418 0.000 0.000 0.008 0.000 0.000 0.000 
 29 1.000351e+07 4.7356 4.4669 3.5948  8.0859 2.7638 0.0000 0.9996 0.0000 0.0000 0.000 0.582  1.026 0.229 0.409 0.000 0.000 0.016 0.000 0.000 0.000 
 30 1.000456e+07 4.7409 4.4563 3.5471  8.1000 2.8178 0.0000 0.9996 0.0000 0.0000 0.000 0.582  1.022 0.234 0.405 0.000 0.000 0.027 0.000 0.000 0.000 
 31 1.000557e+07 4.7451 4.4468 3.5049  8.1122 2.8632 0.0000 0.9996 0.0000 0.0000 0.000 0.582  1.018 0.238 0.397 0.000 0.000 0.036 0.000 0.000 0.000 
 32 1.000653e+07 4.7491 4.4367 3.4605  8.1247 2.9088 0.0000 0.9996 0.0000 0.0000 0.000 0.582  1.011 0.243 0.393 0.000 0.000 0.046 0.000 0.000 0.000 
