#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 4.1541 3.5967 2.0000 0.8014 0.297
  2 1.255190e+04 4.1586 3.5964 1.9999 0.8031 0.911
  3 3.545200e+04 4.1638 3.5896 1.9998 0.8047 2.418
  4 6.105800e+04 4.1672 3.5652 1.9997 0.8054 4.158
  5 8.741410e+04 4.1696 3.5476 1.9992 0.8058 5.815
  6 1.140890e+05 4.1712 3.5344 1.9978 0.8060 7.290
  7 1.409410e+05 4.1723 3.5242 1.9949 0.8062 8.571
  8 1.679170e+05 4.1731 3.5161 1.9902 0.8064 9.675
  9 1.949840e+05 4.1736 3.5091 1.9833 0.8065 10.623
 10 2.221220e+05 4.1740 3.5032 1.9741 0.8066 11.438
 11 2.493190e+05 4.1742 3.4975 1.9626 0.8067 12.143
 12 2.765680e+05 4.1744 3.4930 1.9488 0.8067 12.756
 13 3.038640e+05 4.1745 3.4885 1.9327 0.8067 13.293
 14 3.312060e+05 4.1746 3.4846 1.9144 0.8068 13.767
 15 3.585970e+05 4.1747 3.4807 1.8939 0.8068 14.188
 16 3.860390e+05 4.1747 3.4767 1.8714 0.8069 14.567
 17 4.135350e+05 4.1748 3.4733 1.8468 0.8069 14.907
 18 4.410890e+05 4.1749 3.4698 1.8203 0.8070 15.216
 19 4.687030e+05 4.1750 3.4662 1.7919 0.8070 15.499
 20 4.963810e+05 4.1750 3.4630 1.7616 0.8071 15.757
 21 5.241250e+05 4.1751 3.4593 1.7295 0.8071 15.995
 22 5.519370e+05 4.1752 3.4560 1.6956 0.8072 16.215
 23 5.798210e+05 4.1753 3.4530 1.6600 0.8072 16.419
 24 6.077780e+05 4.1754 3.4495 1.6225 0.8073 16.608
 25 6.358110e+05 4.1755 3.4464 1.5834 0.8073 16.784
 26 6.639220e+05 4.1756 3.4425 1.5245 0.8074 16.954
