#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 4.0502 3.5564 2.2000 0.7427 0.327
  2 1.953760e+04 4.0654 3.5546 2.1974 0.7450 0.367
  3 4.428300e+04 4.0811 3.5522 2.1924 0.7470 0.463
  4 7.313640e+04 4.0959 3.5490 2.1829 0.7490 0.636
  5 1.050380e+05 4.1087 3.5454 2.1653 0.7511 0.893
  6 1.387980e+05 4.1188 3.5394 2.1287 0.7530 1.226
  7 1.734660e+05 4.1266 3.5030 2.1283 0.7549 1.613
  8 2.082600e+05 4.1325 3.4904 2.1276 0.7567 2.031
  9 2.430650e+05 4.1372 3.4827 2.1266 0.7584 2.465
 10 2.776750e+05 4.1410 3.4767 2.1252 0.7600 2.901
 11 3.119700e+05 4.1442 3.4713 2.1235 0.7616 3.330
 12 3.458760e+05 4.1472 3.4673 2.1213 0.7632 3.745
 13 3.793520e+05 4.1499 3.4631 2.1185 0.7648 4.143
 14 4.123730e+05 4.1524 3.4600 2.1153 0.7663 4.521
 15 4.449240e+05 4.1549 3.4567 2.1115 0.7678 4.879
 16 4.769950e+05 4.1574 3.4540 2.1072 0.7694 5.214
 17 5.085820e+05 4.1598 3.4518 2.1023 0.7709 5.529
 18 5.396830e+05 4.1622 3.4494 2.0968 0.7725 5.826
 19 5.702980e+05 4.1646 3.4472 2.0908 0.7740 6.107
 20 6.004260e+05 4.1670 3.4449 2.0843 0.7756 6.372
 21 6.300700e+05 4.1695 3.4431 2.0773 0.7772 6.623
 22 6.592300e+05 4.1719 3.4412 2.0698 0.7787 6.861
 23 6.879080e+05 4.1743 3.4393 2.0618 0.7803 7.087
 24 7.161070e+05 4.1767 3.4374 2.0534 0.7819 7.300
 25 7.438390e+05 4.1791 3.4355 2.0445 0.7835 7.503
 26 7.710990e+05 4.1816 3.4340 2.0353 0.7851 7.696
 27 7.978880e+05 4.1840 3.4321 2.0256 0.7867 7.880
 28 8.242090e+05 4.1865 3.4306 2.0155 0.7883 8.056
 29 8.500650e+05 4.1890 3.4290 2.0051 0.7900 8.225
 30 8.754570e+05 4.1915 3.4275 1.9943 0.7916 8.386
 31 9.003890e+05 4.1940 3.4259 1.9832 0.7933 8.540
 32 9.248640e+05 4.1966 3.4243 1.9718 0.7950 8.687
 33 9.488830e+05 4.1992 3.4227 1.9601 0.7967 8.829
 34 9.724510e+05 4.2018 3.4210 1.9481 0.7984 8.964
 35 9.955690e+05 4.2044 3.4199 1.9356 0.8001 9.095
 36 1.018240e+06 4.2070 3.4176 1.9155 0.8019 9.220
 37 1.040480e+06 4.2097 3.4121 1.8347 0.8037 9.341
 38 1.062270e+06 4.2128 3.3923 1.1445 0.8057 9.412
