#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.3111 3.6297 1.8000 0.5221 0.296
  2 1.966580e+05 3.3407 3.6270 1.8000 0.5239 0.533
  3 4.928770e+05 3.3778 3.6215 1.8000 0.5253 1.093
  4 8.549700e+05 3.4219 3.6112 1.8000 0.5268 2.068
  5 1.250900e+06 3.4683 3.5925 1.7996 0.5284 3.434
  6 1.663300e+06 3.5137 3.5732 1.7977 0.5300 5.072
  7 2.083100e+06 3.5554 3.5551 1.7897 0.5317 6.800
  8 2.504690e+06 3.5917 3.5381 1.7661 0.5333 8.444
  9 2.924550e+06 3.6220 3.5211 1.7137 0.5349 9.902
 10 3.340210e+06 3.6469 3.5030 1.6188 0.5365 11.146
 11 3.748780e+06 3.6672 3.4813 1.4683 0.5384 12.190
 12 4.145540e+06 3.6850 3.4531 1.2483 0.5411 13.069
 13 4.521660e+06 3.7034 3.4136 0.9394 0.5454 13.834
 14 4.746500e+06 3.6874 3.4016 0.5443 0.5443 13.834
