#n   age/yr      logL   logTef grav    logTc  logrho Xc     Yc     Xc_C   Xc_O   Q_conv Q_disc L_H/L Q1_H Q2_H L_He/L Q1_He Q2_He L_C/L L_nu/L Q_Tmax phase
#(1) (2)         (3)    (4)    (5)     (6)    (7)    (8)    (9)    (10)   (11)   (12)   (13)   (14) (15)  (16) (17)   (18)  (19)  (20)  (21)   (22)   (23) 
  1 0.000000e+00 1.5854 4.1229 4.6326  7.3901 1.9343 0.7683 0.2307 0.0000 0.0005 0.255 0.000  0.969 0.000 0.614 0.000 0.000 0.000 0.000 0.000 0.000 bms
  2 5.154212e+07 1.5832 4.1151 4.6036  7.3864 1.9071 0.7396 0.2594 0.0000 0.0001 0.268 0.513  1.002 0.000 0.650 0.000 0.000 0.000 0.000 0.000 0.000 
  3 1.458657e+08 1.6209 4.1131 4.5579  7.3935 1.9072 0.6800 0.3190 0.0000 0.0000 0.260 0.622  1.001 0.000 0.622 0.000 0.000 0.000 0.000 0.000 0.000 
  4 2.271770e+08 1.6639 4.1115 4.5085  7.4039 1.9163 0.6127 0.3863 0.0000 0.0000 0.244 0.669  1.001 0.000 0.595 0.000 0.000 0.000 0.000 0.000 0.000 
  5 2.987940e+08 1.7018 4.1085 4.4586  7.4138 1.9257 0.5487 0.4504 0.0000 0.0000 0.231 0.697  1.001 0.000 0.554 0.000 0.000 0.000 0.000 0.000 0.000 
  6 3.597699e+08 1.7399 4.1035 4.4005  7.4240 1.9348 0.4808 0.5182 0.0000 0.0000 0.221 0.705  1.001 0.000 0.513 0.000 0.000 0.000 0.000 0.000 0.000 
  7 4.098911e+08 1.7732 4.0973 4.3424  7.4332 1.9446 0.4189 0.5801 0.0000 0.0000 0.208 0.714  1.002 0.000 0.476 0.000 0.000 0.000 0.000 0.000 0.000 
  8 4.507667e+08 1.8008 4.0904 4.2872  7.4413 1.9546 0.3649 0.6341 0.0000 0.0000 0.195 0.721  1.002 0.000 0.440 0.000 0.000 0.000 0.000 0.000 0.000 
  9 4.840979e+08 1.8257 4.0826 4.2311  7.4492 1.9656 0.3131 0.6859 0.0000 0.0000 0.184 0.721  1.002 0.000 0.402 0.000 0.000 0.000 0.000 0.000 0.000 
 10 5.111983e+08 1.8479 4.0739 4.1741  7.4571 1.9784 0.2640 0.7351 0.0000 0.0000 0.172 0.721  1.002 0.000 0.375 0.000 0.000 0.000 0.000 0.000 0.000 
 11 5.337084e+08 1.8684 4.0644 4.1156  7.4652 1.9937 0.2165 0.7825 0.0000 0.0000 0.160 0.721  1.002 0.000 0.336 0.000 0.000 0.000 0.000 0.000 0.000 
 12 5.526212e+08 1.8849 4.0552 4.0623  7.4732 2.0106 0.1749 0.8241 0.0000 0.0000 0.150 0.727  1.002 0.000 0.310 0.000 0.000 0.000 0.000 0.000 0.000 
 13 5.688612e+08 1.8999 4.0458 4.0097  7.4821 2.0314 0.1351 0.8640 0.0000 0.0000 0.141 0.727  1.002 0.142 0.284 0.000 0.000 0.000 0.000 0.000 0.000 
 14 5.834274e+08 1.9146 4.0360 3.9558  7.4935 2.0605 0.0940 0.9050 0.0000 0.0000 0.131 0.727  1.002 0.000 0.252 0.000 0.000 0.000 0.000 0.000 0.000 
 15 5.990750e+08 1.9334 4.0268 3.9002  7.5144 2.1185 0.0449 0.9541 0.0000 0.0000 0.118 0.727  1.001 0.123 0.216 0.000 0.000 0.000 0.000 0.000 0.000 
 16 6.023410e+08 1.9387 4.0263 3.8929  7.5221 2.1409 0.0336 0.9655 0.0000 0.0000 0.115 0.727  1.000 0.119 0.216 0.000 0.000 0.000 0.000 0.000 0.000 tminms
 17 6.088822e+08 1.9569 4.0349 3.9091  7.5526 2.2325 0.0100 0.9890 0.0000 0.0000 0.108 0.727  0.989 0.000 0.257 0.000 0.000 0.000 0.000 0.000 0.000 
 18 6.102771e+08 1.9666 4.0434 3.9334  7.5686 2.2834 0.0051 0.9939 0.0000 0.0000 0.105 0.727  0.975 0.000 0.284 0.000 0.000 0.000 0.000 0.000 0.000 
 19 6.109041e+08 1.9794 4.0540 3.9630  7.5868 2.3453 0.0023 0.9967 0.0000 0.0000 0.102 0.727  0.944 0.000 0.317 0.000 0.000 0.000 0.000 0.000 0.000 
 20 6.112321e+08 1.9934 4.0635 3.9870  7.6032 2.4092 0.0011 0.9980 0.0000 0.0000 0.095 0.727  0.894 0.000 0.375 0.000 0.000 0.000 0.000 0.000 0.000 
 21 6.114250e+08 2.0109 4.0731 4.0079  7.6212 2.5025 0.0004 0.9987 0.0000 0.0000 0.079 0.727  0.809 0.000 0.476 0.000 0.000 0.000 0.000 0.000 0.000 
 22 6.115582e+08 2.0195 4.0782 4.0197  7.6266 2.6879 0.0000 0.9990 0.0000 0.0000 0.013 0.727  0.927 0.000 0.554 0.000 0.000 0.000 0.000 0.000 0.000 tmaxlms
 23 6.116336e+08 1.9938 4.0706 4.0150  7.5930 2.8414 0.0000 0.9990 0.0000 0.0000 0.000 0.727  1.213 0.001 0.520 0.000 0.000 0.000 0.000 0.000 0.000 
 24 6.116930e+08 1.9770 4.0611 3.9938  7.5846 2.9167 0.0000 0.9990 0.0000 0.0000 0.000 0.727  1.213 0.009 0.498 0.000 0.000 0.000 0.000 0.000 0.000 
 25 6.117016e+08 1.9768 4.0601 3.9900  7.5841 2.9242 0.0000 0.9990 0.0000 0.0000 0.000 0.727  1.212 0.009 0.491 0.000 0.000 0.000 0.000 0.000 0.000 lminsgb
 26 6.117836e+08 1.9884 4.0515 3.9440  7.5809 2.9929 0.0000 0.9990 0.0000 0.0000 0.000 0.727  1.180 0.015 0.460 0.000 0.000 0.000 0.000 0.000 0.000 
 27 6.118884e+08 2.0133 4.0419 3.8807  7.5781 3.0751 0.0000 0.9990 0.0000 0.0000 0.000 0.727  1.128 0.026 0.382 0.000 0.000 0.000 0.000 0.000 0.000 
 28 6.120279e+08 2.0276 4.0335 3.8328  7.5763 3.1424 0.0000 0.9990 0.0000 0.0000 0.000 0.727  1.100 0.031 0.349 0.000 0.000 0.000 0.000 0.000 0.000 
 29 6.122028e+08 2.0392 4.0232 3.7800  7.5756 3.2198 0.0000 0.9990 0.0000 0.0000 0.000 0.727  1.074 0.040 0.330 0.000 0.000 0.000 0.000 0.000 0.000 
 30 6.124106e+08 2.0464 4.0140 3.7360  7.5765 3.2852 0.0000 0.9990 0.0000 0.0000 0.000 0.727  1.060 0.045 0.317 0.000 0.000 0.000 0.000 0.000 0.000 
 31 6.126468e+08 2.0523 4.0032 3.6869  7.5795 3.3581 0.0000 0.9990 0.0000 0.0000 0.000 0.727  1.050 0.054 0.304 0.000 0.000 0.000 0.000 0.000 0.000 
 32 6.128990e+08 2.0557 3.9947 3.6495  7.5834 3.4119 0.0000 0.9990 0.0000 0.0000 0.000 0.727  1.045 0.059 0.297 0.000 0.000 0.000 0.000 0.000 0.000 
 33 6.131574e+08 2.0584 3.9850 3.6080  7.5891 3.4694 0.0000 0.9990 0.0000 0.0000 0.000 0.727  1.042 0.065 0.291 0.000 0.000 0.000 0.000 0.000 0.000 
 34 6.134108e+08 2.0606 3.9744 3.5634  7.5966 3.5275 0.0000 0.9990 0.0000 0.0000 0.000 0.727  1.041 0.071 0.275 0.000 0.000 0.000 0.000 0.000 0.000 
 35 6.136518e+08 2.0620 3.9626 3.5148  7.6059 3.5863 0.0000 0.9990 0.0000 0.0000 0.000 0.727  1.040 0.077 0.262 0.000 0.000 0.000 0.000 0.000 0.000 
 36 6.138790e+08 2.0624 3.9563 3.4892  7.6113 3.6159 0.0000 0.9990 0.0000 0.0000 0.000 0.727  1.041 0.080 0.257 0.000 0.000 0.000 0.000 0.000 0.000 
 37 6.139624e+08 2.0627 3.9495 3.4617  7.6171 3.6456 0.0000 0.9990 0.0000 0.0000 0.000 0.727  1.042 0.082 0.249 0.000 0.000 0.000 0.000 0.000 0.000 lmaxsgb
 38 6.141650e+08 2.0627 3.9423 3.4329  7.6234 3.6756 0.0000 0.9990 0.0000 0.0000 0.000 0.727  1.043 0.084 0.244 0.000 0.000 0.000 0.000 0.000 0.000 
 39 6.143503e+08 2.0624 3.9346 3.4024  7.6302 3.7056 0.0000 0.9990 0.0000 0.0000 0.000 0.727  1.045 0.087 0.237 0.000 0.000 0.000 0.000 0.000 0.000 
 40 6.145194e+08 2.0609 3.9175 3.3355  7.6449 3.7659 0.0000 0.9990 0.0000 0.0000 0.000 0.727  1.049 0.093 0.224 0.000 0.000 0.000 0.000 0.000 0.000 
 41 6.146716e+08 2.0595 3.9078 3.2981  7.6529 3.7962 0.0000 0.9990 0.0000 0.0000 0.000 0.727  1.052 0.095 0.220 0.000 0.000 0.000 0.000 0.000 0.000 
 42 6.148143e+08 2.0575 3.8964 3.2545  7.6620 3.8294 0.0000 0.9990 0.0000 0.0000 0.000 0.727  1.056 0.098 0.214 0.000 0.000 0.000 0.000 0.000 0.000 
 43 6.149451e+08 2.0553 3.8873 3.2203  7.6691 3.8543 0.0000 0.9990 0.0000 0.0000 0.000 0.727  1.060 0.100 0.211 0.000 0.000 0.000 0.000 0.000 0.000 
 44 6.150632e+08 2.0524 3.8766 3.1804  7.6768 3.8811 0.0000 0.9990 0.0000 0.0000 0.000 0.727  1.065 0.101 0.205 0.000 0.000 0.000 0.000 0.000 0.000 
 45 6.151712e+08 2.0502 3.8689 3.1518  7.6822 3.8990 0.0000 0.9990 0.0000 0.0000 0.000 0.727  1.068 0.102 0.204 0.000 0.000 0.000 0.000 0.000 0.000 
 46 6.152698e+08 2.0471 3.8588 3.1145  7.6889 3.9209 0.0000 0.9990 0.0000 0.0000 0.000 0.724  1.073 0.104 0.200 0.000 0.000 0.000 0.000 0.000 0.000 
 47 6.153611e+08 2.0425 3.8454 3.0655  7.6973 3.9477 0.0000 0.9990 0.0000 0.0000 0.000 0.724  1.079 0.105 0.197 0.000 0.000 0.000 0.000 0.000 0.000 
 48 6.154448e+08 2.0394 3.8370 3.0350  7.7022 3.9633 0.0000 0.9990 0.0000 0.0000 0.000 0.724  1.083 0.106 0.193 0.000 0.000 0.000 0.000 0.000 0.000 
