#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.1833 3.6521 0.9000 0.5321 0.367
  2 2.261080e+05 3.2361 3.6486 0.9000 0.5343 0.367
  3 5.366780e+05 3.3125 3.6433 0.9000 0.5380 0.367
  4 8.903660e+05 3.4007 3.6368 0.9000 0.5436 0.367
  5 1.235830e+06 3.4840 3.6305 0.9000 0.5508 0.367
  6 1.557630e+06 3.5570 3.6249 0.9000 0.5592 0.367
  7 1.852820e+06 3.6191 3.6200 0.8999 0.5685 0.367
  8 2.120890e+06 3.6713 3.6162 0.8996 0.5786 0.367
  9 2.362690e+06 3.7151 3.6129 0.8990 0.5889 0.367
 10 2.580010e+06 3.7521 3.6104 0.8975 0.5994 0.367
 11 2.775190e+06 3.7837 3.6081 0.8947 0.6097 0.367
 12 2.950720e+06 3.8112 3.6064 0.8896 0.6198 0.367
 13 3.109020e+06 3.8353 3.6048 0.8808 0.6295 0.367
 14 3.252310e+06 3.8569 3.6037 0.8651 0.6389 0.367
 15 3.382530e+06 3.8765 3.6033 0.8349 0.6480 0.367
