#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.9717 3.5788 1.6000 0.6938 0.293
  2 3.585460e+04 3.9841 3.5776 1.5999 0.6967 0.825
  3 8.910150e+04 3.9980 3.5705 1.5995 0.6995 2.204
  4 1.539670e+05 4.0112 3.5291 1.5989 0.7022 4.329
  5 2.243990e+05 4.0211 3.5033 1.5955 0.7044 6.560
  6 2.966410e+05 4.0276 3.4849 1.5854 0.7061 8.453
  7 3.691770e+05 4.0314 3.4713 1.5657 0.7071 9.897
  8 4.415100e+05 4.0341 3.4601 1.5355 0.7081 11.004
  9 5.132490e+05 4.0364 3.4507 1.4951 0.7091 11.869
 10 5.840550e+05 4.0385 3.4418 1.4455 0.7102 12.561
 11 6.536000e+05 4.0408 3.4340 1.3877 0.7115 13.122
 12 7.215500e+05 4.0434 3.4265 1.3227 0.7130 13.584
 13 7.887810e+05 4.0468 3.4164 0.7151 0.7151 13.584
