#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 4.1905 3.5106 3.5000 0.8080 0.356
  2 7.840880e+03 4.2025 3.5092 3.4994 0.8095 0.358
  3 1.667540e+04 4.2138 3.5074 3.4986 0.8104 0.364
  4 2.650510e+04 4.2247 3.5061 3.4973 0.8113 0.372
  5 3.730180e+04 4.2349 3.5048 3.4955 0.8121 0.384
  6 4.894220e+04 4.2441 3.5035 3.4930 0.8128 0.399
  7 6.126950e+04 4.2523 3.5023 3.4897 0.8134 0.418
  8 7.413230e+04 4.2594 3.5009 3.4854 0.8139 0.440
  9 8.740260e+04 4.2656 3.4997 3.4801 0.8144 0.464
 10 1.009800e+05 4.2710 3.4986 3.4735 0.8147 0.490
 11 1.147880e+05 4.2758 3.4977 3.4656 0.8151 0.519
 12 1.287740e+05 4.2801 3.4969 3.4562 0.8154 0.549
 13 1.428960e+05 4.2840 3.4959 3.4450 0.8157 0.581
 14 1.571280e+05 4.2877 3.4949 3.4318 0.8160 0.614
 15 1.714480e+05 4.2911 3.4938 3.4160 0.8163 0.648
 16 1.858430e+05 4.2944 3.4925 3.3970 0.8165 0.683
 17 2.003010e+05 4.2975 3.4913 3.3743 0.8168 0.720
 18 2.148130e+05 4.3003 3.4903 3.3466 0.8171 0.758
 19 2.293720e+05 4.3028 3.4888 3.3117 0.8174 0.797
 20 2.439700e+05 4.3049 3.4873 3.2676 0.8177 0.838
 21 2.586000e+05 4.3063 3.4855 3.2081 0.8180 0.880
 22 2.732490e+05 4.3065 3.4833 3.1244 0.8184 0.924
 23 2.879000e+05 4.3042 3.4798 2.9874 0.8188 0.970
 24 3.025270e+05 4.3040 3.4768 2.8979 0.8193 1.019
 25 3.169990e+05 4.3077 3.4327 2.8974 0.8199 1.068
 26 3.313370e+05 4.3114 3.4186 2.8964 0.8205 1.119
 27 3.457160e+05 4.3152 3.4129 2.8954 0.8211 1.171
 28 3.601260e+05 4.3191 3.4093 2.8942 0.8217 1.224
 29 3.745580e+05 4.3131 3.4007 2.7114 0.8223 1.281
 30 3.890700e+05 4.3020 3.3892 2.4217 0.8232 1.340
 31 4.032570e+05 4.2804 3.3673 1.8196 0.8244 1.389
